,open_time,open,high,low,close,volume,close_time,quote_asset_volume,n_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,pairing
0,1635945000000,3112.0,3112.0,3112.0,3112.0,84.0,1635945059999,0.00261408,1,84.0,0.00261408,ARKBTC
1,1635945060000,3121.0,3125.0,3109.0,3109.0,880.7,1635945119999,0.0275031,17,775.3,0.02422418,ARKBTC
2,1635945120000,3123.0,3130.0,3123.0,3130.0,853.8,1635945179999,0.02671606,10,853.8,0.02671606,ARKBTC
3,1635945180000,3118.0,3132.0,3116.0,3132.0,527.7,1635945239999,0.01648773,11,206.7,0.00647013,ARKBTC
4,1635945240000,3131.0,3132.0,3121.0,3131.0,696.7,1635945299999,0.02178874,6,445.7,0.01395376,ARKBTC
5,1635945300000,3126.0,3131.0,3126.0,3126.0,1371.2,1635945359999,0.0428887,6,1275.4,0.03988921,ARKBTC
6,1635945360000,3126.0,3132.0,3124.0,3132.0,141.0,1635945419999,0.00441021,4,96.0,0.00300441,ARKBTC
7,1635945420000,3124.0,3126.0,3124.0,3124.0,959.0,1635945479999,0.0299753,4,807.0,0.02522682,ARKBTC
8,1635945480000,3124.0,3124.0,3123.0,3124.0,743.0,1635945539999,0.02321111,5,0.0,0.0,ARKBTC
9,1635945540000,3126.0,3126.0,3126.0,3126.0,251.0,1635945599999,0.00784626,1,251.0,0.00784626,ARKBTC
10,1635945600000,3131.0,3135.0,3126.0,3126.0,1963.3,1635945659999,0.06147918,11,1280.3,0.0401286,ARKBTC
11,1635945660000,3127.0,3137.0,3127.0,3137.0,578.9,1635945719999,0.01813509,3,578.9,0.01813509,ARKBTC
12,1635945720000,3127.0,3137.0,3124.0,3126.0,707.5,1635945779999,0.02213329,5,504.6,0.0157942,ARKBTC
13,1635945780000,3126.0,3128.0,3126.0,3128.0,61.0,1635945839999,0.00190746,2,0.0,0.0,ARKBTC
14,1635945840000,3128.0,3128.0,3126.0,3126.0,204.7,1635945899999,0.00640191,2,55.0,0.0017193,ARKBTC
15,1635945900000,3126.0,3126.0,3126.0,3126.0,0.0,1635945959999,0.0,0,0.0,0.0,ARKBTC
16,1635945960000,3126.0,3126.0,3126.0,3126.0,0.0,1635946019999,0.0,0,0.0,0.0,ARKBTC
17,1635946020000,3126.0,3126.0,3126.0,3126.0,0.0,1635946079999,0.0,0,0.0,0.0,ARKBTC
18,1635946080000,3132.0,3133.0,3124.0,3124.0,811.0,1635946139999,0.025397,6,511.5,0.01602498,ARKBTC
19,1635946140000,3124.0,3124.0,3124.0,3124.0,7.0,1635946199999,0.00021868,1,0.0,0.0,ARKBTC
20,1635946200000,3124.0,3134.0,3124.0,3134.0,967.8,1635946259999,0.03030669,4,927.8,0.02905709,ARKBTC
21,1635946260000,3134.0,3134.0,3134.0,3134.0,110.7,1635946319999,0.00346933,1,110.7,0.00346933,ARKBTC
22,1635946320000,3129.0,3138.0,3129.0,3138.0,1068.0,1635946379999,0.0335027,7,229.8,0.00720602,ARKBTC
23,1635946380000,3130.0,3130.0,3127.0,3128.0,782.8,1635946439999,0.02448753,4,611.1,0.01911364,ARKBTC
24,1635946440000,3128.0,3136.0,3127.0,3136.0,1673.1,1635946499999,0.05233645,7,1114.3,0.03485319,ARKBTC
25,1635946500000,3135.0,3137.0,3130.0,3130.0,167.8,1635946559999,0.0052597,4,50.8,0.00159065,ARKBTC
26,1635946560000,3128.0,3128.0,3128.0,3128.0,10.3,1635946619999,0.00032218,1,10.3,0.00032218,ARKBTC
27,1635946620000,3137.0,3137.0,3126.0,3126.0,238.1,1635946679999,0.00745028,3,213.1,0.00666878,ARKBTC
28,1635946680000,3126.0,3126.0,3121.0,3121.0,955.5,1635946739999,0.02986784,5,0.0,0.0,ARKBTC
29,1635946740000,3121.0,3121.0,3121.0,3121.0,0.0,1635946799999,0.0,0,0.0,0.0,ARKBTC
30,1635946800000,3123.0,3125.0,3123.0,3123.0,765.9,1635946859999,0.02392928,7,72.0,0.00224856,ARKBTC
31,1635946860000,3124.0,3124.0,3124.0,3124.0,197.0,1635946919999,0.00615428,1,197.0,0.00615428,ARKBTC
32,1635946920000,3133.0,3142.0,3132.0,3134.0,1831.5,1635946979999,0.0574821,10,1743.0,0.05470866,ARKBTC
33,1635946980000,3135.0,3135.0,3135.0,3135.0,7.0,1635947039999,0.00021945,1,0.0,0.0,ARKBTC
34,1635947040000,3134.0,3135.0,3134.0,3135.0,580.1,1635947099999,0.01818113,2,500.0,0.01567,ARKBTC
35,1635947100000,3133.0,3145.0,3126.0,3126.0,1007.3,1635947159999,0.03157238,12,509.1,0.01599706,ARKBTC
36,1635947160000,3124.0,3124.0,3123.0,3123.0,549.0,1635947219999,0.01715059,4,0.0,0.0,ARKBTC
37,1635947220000,3122.0,3122.0,3099.0,3104.0,2449.4,1635947279999,0.07614551,20,48.5,0.00150592,ARKBTC
38,1635947280000,3113.0,3113.0,3113.0,3113.0,15.7,1635947339999,0.00048874,1,15.7,0.00048874,ARKBTC
39,1635947340000,3118.0,3122.0,3118.0,3122.0,89.2,1635947399999,0.00278399,3,89.2,0.00278399,ARKBTC
40,1635947400000,3109.0,3109.0,3108.0,3109.0,76.2,1635947459999,0.00236904,3,0.0,0.0,ARKBTC
41,1635947460000,3109.0,3109.0,3109.0,3109.0,0.0,1635947519999,0.0,0,0.0,0.0,ARKBTC
42,1635947520000,3108.0,3110.0,3107.0,3109.0,1662.6,1635947579999,0.05169248,9,1018.1,0.03165772,ARKBTC
43,1635947580000,3109.0,3112.0,3109.0,3109.0,2010.8,1635947639999,0.0625344,7,1145.6,0.03563034,ARKBTC
44,1635947640000,3117.0,3127.0,3117.0,3127.0,776.5,1635947699999,0.02426088,6,776.5,0.02426088,ARKBTC
45,1635947700000,3127.0,3127.0,3127.0,3127.0,0.0,1635947759999,0.0,0,0.0,0.0,ARKBTC
46,1635947760000,3113.0,3123.0,3112.0,3123.0,32.4,1635947819999,0.00100991,4,13.4,0.00041848,ARKBTC
47,1635947820000,3114.0,3117.0,3111.0,3112.0,1678.8,1635947879999,0.05229543,13,1606.8,0.05005497,ARKBTC
48,1635947880000,3116.0,3117.0,3113.0,3113.0,3852.5,1635947939999,0.12003264,17,3197.5,0.09962888,ARKBTC
49,1635947940000,3113.0,3113.0,3113.0,3113.0,0.0,1635947999999,0.0,0,0.0,0.0,ARKBTC
50,1635948000000,3121.0,3121.0,3102.0,3102.0,3027.7,1635948059999,0.09428632,15,0.0,0.0,ARKBTC
51,1635948060000,3106.0,3121.0,3106.0,3121.0,933.5,1635948119999,0.02911239,6,933.5,0.02911239,ARKBTC
52,1635948120000,3108.0,3108.0,3108.0,3108.0,130.0,1635948179999,0.00404039,2,0.0,0.0,ARKBTC
53,1635948180000,3108.0,3108.0,3108.0,3108.0,41.0,1635948239999,0.00127428,1,0.0,0.0,ARKBTC
54,1635948240000,3118.0,3121.0,3110.0,3112.0,481.3,1635948299999,0.01499208,5,177.9,0.00555128,ARKBTC
55,1635948300000,3114.0,3114.0,3110.0,3110.0,1352.9,1635948359999,0.0421082,6,777.9,0.02422019,ARKBTC
56,1635948360000,3111.0,3111.0,3107.0,3107.0,1489.0,1635948419999,0.04631659,9,0.0,0.0,ARKBTC
57,1635948420000,3113.0,3118.0,3113.0,3118.0,4237.4,1635948479999,0.13201158,10,4237.4,0.13201158,ARKBTC
58,1635948480000,3112.0,3112.0,3112.0,3112.0,50.0,1635948539999,0.001556,1,0.0,0.0,ARKBTC
59,1635948540000,3112.0,3121.0,3112.0,3113.0,1273.4,1635948599999,0.03973087,5,0.0,0.0,ARKBTC
60,1635948600000,3123.0,3128.0,3115.0,3127.0,1604.0,1635948659999,0.05015585,11,1031.3,0.03225377,ARKBTC
61,1635948660000,3127.0,3131.0,3119.0,3123.0,776.2,1635948719999,0.02424146,8,532.8,0.01664157,ARKBTC
62,1635948720000,3124.0,3124.0,3122.0,3122.0,232.0,1635948779999,0.00724629,5,0.0,0.0,ARKBTC
63,1635948780000,3122.0,3123.0,3120.0,3120.0,344.9,1635948839999,0.01076643,4,130.0,0.0040599,ARKBTC
64,1635948840000,3120.0,3131.0,3119.0,3120.0,717.3,1635948899999,0.02237823,6,18.4,0.00057564,ARKBTC
65,1635948900000,3129.0,3129.0,3124.0,3124.0,314.0,1635948959999,0.00982186,3,40.9,0.00127771,ARKBTC
66,1635948960000,3119.0,3129.0,3119.0,3123.0,629.7,1635949019999,0.01969541,3,601.7,0.01882209,ARKBTC
67,1635949020000,3123.0,3123.0,3123.0,3123.0,0.0,1635949079999,0.0,0,0.0,0.0,ARKBTC
68,1635949080000,3124.0,3132.0,3121.0,3132.0,1259.7,1635949139999,0.03935429,8,1259.7,0.03935429,ARKBTC
69,1635949140000,3124.0,3124.0,3124.0,3124.0,10.9,1635949199999,0.00034051,1,0.0,0.0,ARKBTC
70,1635949200000,3126.0,3126.0,3126.0,3126.0,75.0,1635949259999,0.0023445,1,75.0,0.0023445,ARKBTC
71,1635949260000,3126.0,3137.0,3126.0,3137.0,599.6,1635949319999,0.01880403,5,593.6,0.01861647,ARKBTC
72,1635949320000,3128.0,3128.0,3128.0,3128.0,256.0,1635949379999,0.00800768,2,0.0,0.0,ARKBTC
73,1635949380000,3128.0,3137.0,3127.0,3130.0,1869.6,1635949439999,0.05858922,6,1254.3,0.03934223,ARKBTC
74,1635949440000,3130.0,3130.0,3130.0,3130.0,5.3,1635949499999,0.00016589,1,0.0,0.0,ARKBTC
75,1635949500000,3130.0,3130.0,3130.0,3130.0,0.0,1635949559999,0.0,0,0.0,0.0,ARKBTC
76,1635949560000,3132.0,3133.0,3132.0,3133.0,212.0,1635949619999,0.00664094,2,212.0,0.00664094,ARKBTC
77,1635949620000,3131.0,3131.0,3130.0,3130.0,520.0,1635949679999,0.01628115,2,0.0,0.0,ARKBTC
78,1635949680000,3131.0,3133.0,3131.0,3133.0,392.0,1635949739999,0.01228094,4,275.0,0.00861575,ARKBTC
79,1635949740000,3133.0,3133.0,3122.0,3132.0,3411.1,1635949799999,0.10673195,7,195.2,0.00611366,ARKBTC
80,1635949800000,3132.0,3132.0,3132.0,3132.0,420.2,1635949859999,0.01316066,2,420.2,0.01316066,ARKBTC
81,1635949860000,3130.0,3132.0,3130.0,3132.0,914.6,1635949919999,0.02863346,3,914.6,0.02863346,ARKBTC
82,1635949920000,3127.0,3127.0,3127.0,3127.0,129.8,1635949979999,0.00405884,3,0.0,0.0,ARKBTC
83,1635949980000,3133.0,3135.0,3129.0,3129.0,304.1,1635950039999,0.00952422,4,154.1,0.00483072,ARKBTC
84,1635950040000,3135.0,3135.0,3131.0,3131.0,180.7,1635950099999,0.00566305,3,180.7,0.00566305,ARKBTC
85,1635950100000,3131.0,3137.0,3131.0,3137.0,328.3,1635950159999,0.01029571,3,328.3,0.01029571,ARKBTC
86,1635950160000,3138.0,3138.0,3129.0,3129.0,8.3,1635950219999,0.00026006,2,4.0,0.00012552,ARKBTC
87,1635950220000,3129.0,3141.0,3127.0,3141.0,3709.5,1635950279999,0.11613595,10,697.0,0.02188774,ARKBTC
88,1635950280000,3129.0,3142.0,3129.0,3142.0,123.2,1635950339999,0.00386899,3,108.2,0.00339964,ARKBTC
89,1635950340000,3142.0,3142.0,3142.0,3142.0,0.0,1635950399999,0.0,0,0.0,0.0,ARKBTC
90,1635950400000,3131.0,3131.0,3131.0,3131.0,152.3,1635950459999,0.00476851,1,0.0,0.0,ARKBTC
91,1635950460000,3131.0,3131.0,3131.0,3131.0,0.0,1635950519999,0.0,0,0.0,0.0,ARKBTC
92,1635950520000,3131.0,3131.0,3131.0,3131.0,0.0,1635950579999,0.0,0,0.0,0.0,ARKBTC
93,1635950580000,3128.0,3137.0,3125.0,3137.0,717.4,1635950639999,0.02245109,8,448.7,0.01405375,ARKBTC
94,1635950640000,3125.0,3125.0,3124.0,3125.0,1025.0,1635950699999,0.03202863,5,0.0,0.0,ARKBTC
