,open_time,open,high,low,close,volume,close_time,quote_asset_volume,n_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,pairing
0,1585920660000,0.00001398,0.00001398,0.00001398,0.00001398,7542.00000000,1585920719999,0.10543716,5,7542.00000000,0.10543716,ARNBTC
1,1585920720000,0.00001398,0.00001398,0.00001398,0.00001398,6696.00000000,1585920779999,0.09361008,5,6696.00000000,0.09361008,ARNBTC
2,1585920780000,0.00001398,0.00001398,0.00001398,0.00001398,6790.00000000,1585920839999,0.09492420,5,6790.00000000,0.09492420,ARNBTC
3,1585920840000,0.00001398,0.00001398,0.00001398,0.00001398,8159.00000000,1585920899999,0.11406282,6,8159.00000000,0.11406282,ARNBTC
4,1585920900000,0.00001398,0.00001401,0.00001398,0.00001401,946.00000000,1585920959999,0.01322541,2,946.00000000,0.01322541,ARNBTC
5,1585920960000,0.00001398,0.00001398,0.00001398,0.00001398,4190.00000000,1585921019999,0.05857620,4,4190.00000000,0.05857620,ARNBTC
6,1585921020000,0.00001398,0.00001398,0.00001398,0.00001398,7987.00000000,1585921079999,0.11165826,5,7987.00000000,0.11165826,ARNBTC
7,1585921080000,0.00001398,0.00001398,0.00001398,0.00001398,9007.00000000,1585921139999,0.12591786,6,9007.00000000,0.12591786,ARNBTC
8,1585921140000,0.00001398,0.00001398,0.00001398,0.00001398,5818.00000000,1585921199999,0.08133564,5,5818.00000000,0.08133564,ARNBTC
9,1585921200000,0.00001398,0.00001398,0.00001398,0.00001398,9005.00000000,1585921259999,0.12588990,7,9005.00000000,0.12588990,ARNBTC
10,1585921260000,0.00001399,0.00001399,0.00001399,0.00001399,3482.00000000,1585921319999,0.04871318,4,3482.00000000,0.04871318,ARNBTC
11,1585921320000,0.00001399,0.00001399,0.00001399,0.00001399,0.00000000,1585921379999,0.00000000,0,0.00000000,0.00000000,ARNBTC
12,1585921380000,0.00001399,0.00001399,0.00001399,0.00001399,0.00000000,1585921439999,0.00000000,0,0.00000000,0.00000000,ARNBTC
13,1585921440000,0.00001399,0.00001399,0.00001399,0.00001399,0.00000000,1585921499999,0.00000000,0,0.00000000,0.00000000,ARNBTC
14,1585921500000,0.00001399,0.00001399,0.00001399,0.00001399,0.00000000,1585921559999,0.00000000,0,0.00000000,0.00000000,ARNBTC
15,1585921560000,0.00001399,0.00001399,0.00001399,0.00001399,0.00000000,1585921619999,0.00000000,0,0.00000000,0.00000000,ARNBTC
