,open_time,open,high,low,close,volume,close_time,quote_asset_volume,n_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,pairing
0,1596878700000,35000.0,35000.0,35000.0,35000.0,0.0,1596878759999,0.0,0,0.0,0.0,ATOMBTC
1,1596878760000,34970.0,34970.0,34970.0,34970.0,43.37,1596878819999,0.01516648,1,0.0,0.0,ATOMBTC
2,1596878820000,34970.0,34970.0,34970.0,34970.0,0.0,1596878879999,0.0,0,0.0,0.0,ATOMBTC
3,1596878880000,35000.0,35000.0,35000.0,35000.0,41.26,1596878939999,0.014441,2,41.26,0.014441,ATOMBTC
4,1596878940000,35040.0,35040.0,35040.0,35040.0,106.04,1596878999999,0.03715641,1,106.04,0.03715641,ATOMBTC
5,1596879000000,35010.0,35060.0,35010.0,35010.0,60.06,1596879059999,0.02102751,3,1.02,0.00035761,ATOMBTC
6,1596879060000,35050.0,35070.0,35050.0,35060.0,89.8,1596879119999,0.03148707,3,89.49,0.03137839,ATOMBTC
7,1596879120000,35010.0,35010.0,34930.0,34990.0,3366.21,1596879179999,1.17671985,90,0.0,0.0,ATOMBTC
8,1596879180000,34990.0,34990.0,34990.0,34990.0,0.0,1596879239999,0.0,0,0.0,0.0,ATOMBTC
9,1596879240000,34990.0,34990.0,34990.0,34990.0,0.0,1596879299999,0.0,0,0.0,0.0,ATOMBTC
10,1596879300000,35000.0,35010.0,35000.0,35010.0,10.73,1596879359999,0.00375629,3,10.73,0.00375629,ATOMBTC
11,1596879360000,35010.0,35010.0,34980.0,35010.0,770.67,1596879419999,0.26976377,11,611.51,0.21408961,ATOMBTC
12,1596879420000,35010.0,35010.0,34930.0,34930.0,4188.13,1596879479999,1.46450896,36,480.82,0.16833505,ATOMBTC
13,1596879480000,34940.0,34940.0,34850.0,34850.0,172.23,1596879539999,0.06009042,24,41.44,0.01446461,ATOMBTC
14,1596879540000,34900.0,34910.0,34860.0,34880.0,424.79,1596879599999,0.14819798,6,105.99,0.03699654,ATOMBTC
15,1596879600000,34900.0,34940.0,34860.0,34940.0,742.48,1596879659999,0.25933036,14,704.68,0.24614862,ATOMBTC
16,1596879660000,34940.0,34940.0,34920.0,34920.0,33.26,1596879719999,0.01162001,5,32.48,0.01134764,ATOMBTC
17,1596879720000,34920.0,34920.0,34920.0,34920.0,80.48,1596879779999,0.02810358,6,80.48,0.02810358,ATOMBTC
18,1596879780000,34920.0,34920.0,34920.0,34920.0,606.9,1596879839999,0.21192941,18,606.9,0.21192941,ATOMBTC
19,1596879840000,34860.0,34860.0,34840.0,34840.0,422.6,1596879899999,0.14723631,7,0.0,0.0,ATOMBTC
20,1596879900000,34840.0,34840.0,34840.0,34840.0,0.0,1596879959999,0.0,0,0.0,0.0,ATOMBTC
21,1596879960000,34840.0,34840.0,34840.0,34840.0,0.0,1596880019999,0.0,0,0.0,0.0,ATOMBTC
