,open_time,open,high,low,close,volume,close_time,quote_asset_volume,n_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,pairing
0,1597160580000,0.00114039,0.00114444,0.00113629,0.00113958,3546.00000000,1597160639999,4.05040962,102,1199.00000000,1.36980013,BANDBTC
1,1597160640000,0.00114444,0.00115237,0.00113701,0.00115208,3223.00000000,1597160699999,3.69641493,132,2439.00000000,2.79847428,BANDBTC
2,1597160700000,0.00115214,0.00115237,0.00114522,0.00114900,2485.00000000,1597160759999,2.86076202,111,643.00000000,0.74015603,BANDBTC
3,1597160760000,0.00115106,0.00116777,0.00114943,0.00116212,6854.00000000,1597160819999,7.94378441,190,4056.00000000,4.69134843,BANDBTC
4,1597160820000,0.00116415,0.00117592,0.00116415,0.00117395,2701.00000000,1597160879999,3.16577258,160,1980.00000000,2.32019435,BANDBTC
5,1597160880000,0.00117444,0.00117444,0.00116037,0.00116801,5048.00000000,1597160939999,5.89252680,214,3199.00000000,3.73128441,BANDBTC
6,1597160940000,0.00116801,0.00116950,0.00116494,0.00116850,1079.00000000,1597160999999,1.25961951,62,896.00000000,1.04621047,BANDBTC
7,1597161000000,0.00117000,0.00117261,0.00116601,0.00116838,1762.00000000,1597161059999,2.06074594,54,1448.00000000,1.69416948,BANDBTC
8,1597161060000,0.00116609,0.00116833,0.00115824,0.00116498,2568.00000000,1597161119999,2.99179983,110,1279.00000000,1.49133758,BANDBTC
9,1597161120000,0.00116498,0.00116856,0.00116037,0.00116856,1468.00000000,1597161179999,1.71372433,75,1407.00000000,1.64266947,BANDBTC
10,1597161180000,0.00117000,0.00117592,0.00117000,0.00117500,3667.00000000,1597161239999,4.30590590,70,1901.00000000,2.23134573,BANDBTC
11,1597161240000,0.00117199,0.00117727,0.00117199,0.00117501,1717.00000000,1597161299999,2.01882748,67,921.00000000,1.08351984,BANDBTC
12,1597161300000,0.00117501,0.00118713,0.00117501,0.00118291,2081.00000000,1597161359999,2.45688324,121,1704.00000000,2.01214851,BANDBTC
13,1597161360000,0.00118294,0.00118999,0.00118287,0.00118997,6828.00000000,1597161419999,8.09856164,179,2527.00000000,2.99655743,BANDBTC
14,1597161420000,0.00118660,0.00119000,0.00118213,0.00118213,6400.00000000,1597161479999,7.59091274,201,1180.00000000,1.40223932,BANDBTC
15,1597161480000,0.00118213,0.00118500,0.00117600,0.00117961,5372.00000000,1597161539999,6.34495623,134,3240.00000000,3.82890467,BANDBTC
16,1597161540000,0.00117963,0.00118750,0.00117962,0.00118374,5166.00000000,1597161599999,6.11745438,93,3514.00000000,4.16353689,BANDBTC
17,1597161600000,0.00118356,0.00118357,0.00116086,0.00116086,5930.00000000,1597161659999,6.94540187,151,1521.00000000,1.78763868,BANDBTC
18,1597161660000,0.00116086,0.00116498,0.00115167,0.00115995,6900.00000000,1597161719999,7.97997023,207,4135.00000000,4.78207640,BANDBTC
19,1597161720000,0.00116400,0.00118023,0.00115653,0.00117330,2759.00000000,1597161779999,3.23058033,149,1415.00000000,1.65558209,BANDBTC
20,1597161780000,0.00117330,0.00117335,0.00116192,0.00116192,2185.00000000,1597161839999,2.55194733,68,697.00000000,0.81497718,BANDBTC
21,1597161840000,0.00116192,0.00117404,0.00115495,0.00117096,3016.00000000,1597161899999,3.50740231,126,1724.00000000,2.00693298,BANDBTC
22,1597161900000,0.00117096,0.00118698,0.00116797,0.00118471,1940.00000000,1597161959999,2.28399322,108,1201.00000000,1.41514767,BANDBTC
23,1597161960000,0.00118698,0.00120999,0.00118429,0.00120341,13522.00000000,1597162019999,16.22157898,301,8307.00000000,9.95685612,BANDBTC
24,1597162020000,0.00120926,0.00121133,0.00119107,0.00119511,18936.00000000,1597162079999,22.77593503,352,7442.00000000,8.95316340,BANDBTC
25,1597162080000,0.00119763,0.00119763,0.00117408,0.00118316,17143.00000000,1597162139999,20.27772039,316,9129.00000000,10.78687475,BANDBTC
26,1597162140000,0.00118465,0.00118967,0.00117555,0.00118353,2707.00000000,1597162199999,3.19813187,121,1581.00000000,1.86917276,BANDBTC
27,1597162200000,0.00118332,0.00118332,0.00115708,0.00115708,10169.00000000,1597162259999,11.85289256,213,1589.00000000,1.86164840,BANDBTC
28,1597162260000,0.00116557,0.00117799,0.00116093,0.00117700,6284.00000000,1597162319999,7.35486780,138,4865.00000000,5.69224329,BANDBTC
29,1597162320000,0.00117003,0.00117476,0.00116145,0.00117125,5226.00000000,1597162379999,6.11133790,128,2346.00000000,2.74932203,BANDBTC
30,1597162380000,0.00117125,0.00117613,0.00112664,0.00113588,15002.00000000,1597162439999,17.27731009,519,5145.00000000,5.92306271,BANDBTC
31,1597162440000,0.00113589,0.00114338,0.00111000,0.00112718,22575.00000000,1597162499999,25.35470994,638,7319.00000000,8.24146896,BANDBTC
32,1597162500000,0.00112718,0.00113561,0.00111607,0.00112005,8419.00000000,1597162559999,9.46836260,328,2864.00000000,3.22513611,BANDBTC
33,1597162560000,0.00111818,0.00113890,0.00111817,0.00113433,7784.00000000,1597162619999,8.81489163,188,3530.00000000,3.99169677,BANDBTC
34,1597162620000,0.00113788,0.00113788,0.00112500,0.00113592,5984.00000000,1597162679999,6.77866624,105,2772.00000000,3.15076127,BANDBTC
35,1597162680000,0.00113592,0.00114176,0.00112750,0.00114176,12610.00000000,1597162739999,14.29624859,152,8529.00000000,9.68101146,BANDBTC
36,1597162740000,0.00114176,0.00114201,0.00112766,0.00113571,3556.00000000,1597162799999,4.03272421,94,1125.00000000,1.27465545,BANDBTC
37,1597162800000,0.00113040,0.00113552,0.00111100,0.00111775,8019.00000000,1597162859999,9.00677961,161,2274.00000000,2.54955153,BANDBTC
38,1597162860000,0.00111258,0.00113499,0.00111005,0.00113230,7040.00000000,1597162919999,7.86345536,180,2417.00000000,2.71017380,BANDBTC
39,1597162920000,0.00112602,0.00113400,0.00112211,0.00112861,3267.00000000,1597162979999,3.68693195,117,2224.00000000,2.51337316,BANDBTC
40,1597162980000,0.00112602,0.00113646,0.00112535,0.00113575,4809.00000000,1597163039999,5.45598964,95,1542.00000000,1.74972174,BANDBTC
41,1597163040000,0.00113553,0.00113847,0.00113500,0.00113746,2811.00000000,1597163099999,3.19658211,64,1991.00000000,2.26520921,BANDBTC
42,1597163100000,0.00113311,0.00113311,0.00112000,0.00113232,5233.00000000,1597163159999,5.88864002,93,1350.00000000,1.52055980,BANDBTC
43,1597163160000,0.00113231,0.00113635,0.00112590,0.00113357,2572.00000000,1597163219999,2.90633720,74,595.00000000,0.67386200,BANDBTC
44,1597163220000,0.00112882,0.00113770,0.00112882,0.00113770,1856.00000000,1597163279999,2.10378801,64,1150.00000000,1.30443935,BANDBTC
45,1597163280000,0.00113770,0.00114194,0.00112900,0.00113031,4636.00000000,1597163339999,5.27037864,118,2153.00000000,2.44962736,BANDBTC
