,open_time,open,high,low,close,volume,close_time,quote_asset_volume,n_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,pairing
0,1594305960000,0.00000553,0.00000553,0.00000553,0.00000553,4474.00000000,1594306019999,0.02474122,5,0.00000000,0.00000000,DATABTC
1,1594306020000,0.00000553,0.00000553,0.00000552,0.00000553,5264.00000000,1594306079999,0.02905802,4,71.00000000,0.00039263,DATABTC
2,1594306080000,0.00000553,0.00000553,0.00000553,0.00000553,20.00000000,1594306139999,0.00011060,1,20.00000000,0.00011060,DATABTC
3,1594306140000,0.00000553,0.00000553,0.00000553,0.00000553,8076.00000000,1594306199999,0.04466028,3,3106.00000000,0.01717618,DATABTC
4,1594306200000,0.00000554,0.00000555,0.00000554,0.00000555,38919.00000000,1594306259999,0.21572871,23,26052.00000000,0.14434383,DATABTC
5,1594306260000,0.00000556,0.00000557,0.00000556,0.00000557,24650.00000000,1594306319999,0.13705406,22,3883.00000000,0.02158954,DATABTC
6,1594306320000,0.00000556,0.00000556,0.00000554,0.00000554,28519.00000000,1594306379999,0.15852811,5,0.00000000,0.00000000,DATABTC
7,1594306380000,0.00000553,0.00000553,0.00000553,0.00000553,223.00000000,1594306439999,0.00123319,1,0.00000000,0.00000000,DATABTC
8,1594306440000,0.00000556,0.00000556,0.00000556,0.00000556,387.00000000,1594306499999,0.00215172,2,387.00000000,0.00215172,DATABTC
9,1594306500000,0.00000557,0.00000560,0.00000557,0.00000560,13578.00000000,1594306559999,0.07577748,41,11968.00000000,0.06680978,DATABTC
10,1594306560000,0.00000558,0.00000559,0.00000558,0.00000558,9853.00000000,1594306619999,0.05498019,9,0.00000000,0.00000000,DATABTC
11,1594306620000,0.00000557,0.00000557,0.00000553,0.00000553,17883.00000000,1594306679999,0.09909660,36,0.00000000,0.00000000,DATABTC
12,1594306680000,0.00000554,0.00000554,0.00000553,0.00000553,9969.00000000,1594306739999,0.05520857,12,8000.00000000,0.04432000,DATABTC
13,1594306740000,0.00000556,0.00000556,0.00000556,0.00000556,37.00000000,1594306799999,0.00020572,3,37.00000000,0.00020572,DATABTC
14,1594306800000,0.00000556,0.00000556,0.00000555,0.00000555,9857.00000000,1594306859999,0.05471736,10,7826.00000000,0.04344531,DATABTC
15,1594306860000,0.00000555,0.00000555,0.00000555,0.00000555,16107.00000000,1594306919999,0.08939385,3,16107.00000000,0.08939385,DATABTC
16,1594306920000,0.00000555,0.00000555,0.00000555,0.00000555,1967.00000000,1594306979999,0.01091685,2,0.00000000,0.00000000,DATABTC
17,1594306980000,0.00000554,0.00000554,0.00000553,0.00000553,9377.00000000,1594307039999,0.05185888,11,0.00000000,0.00000000,DATABTC
