,open_time,open,high,low,close,volume,close_time,quote_asset_volume,n_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,pairing
0,1594305960000,553.0,553.0,553.0,553.0,4474.0,1594306019999,0.02474122,5,0.0,0.0,DATABTC
1,1594306020000,553.0,553.0,552.0,553.0,5264.0,1594306079999,0.02905802,4,71.0,0.00039263,DATABTC
2,1594306080000,553.0,553.0,553.0,553.0,20.0,1594306139999,0.0001106,1,20.0,0.0001106,DATABTC
3,1594306140000,553.0,553.0,553.0,553.0,8076.0,1594306199999,0.04466028,3,3106.0,0.01717618,DATABTC
4,1594306200000,554.0,555.0,554.0,555.0,38919.0,1594306259999,0.21572871,23,26052.0,0.14434383,DATABTC
5,1594306260000,556.0,557.0,556.0,557.0,24650.0,1594306319999,0.13705406,22,3883.0,0.02158954,DATABTC
6,1594306320000,556.0,556.0,554.0,554.0,28519.0,1594306379999,0.15852811,5,0.0,0.0,DATABTC
7,1594306380000,553.0,553.0,553.0,553.0,223.0,1594306439999,0.00123319,1,0.0,0.0,DATABTC
8,1594306440000,556.0,556.0,556.0,556.0,387.0,1594306499999,0.00215172,2,387.0,0.00215172,DATABTC
9,1594306500000,557.0,560.0,557.0,560.0,13578.0,1594306559999,0.07577748,41,11968.0,0.06680978,DATABTC
10,1594306560000,558.0,559.0,558.0,558.0,9853.0,1594306619999,0.05498019,9,0.0,0.0,DATABTC
11,1594306620000,557.0,557.0,553.0,553.0,17883.0,1594306679999,0.0990966,36,0.0,0.0,DATABTC
12,1594306680000,554.0,554.0,553.0,553.0,9969.0,1594306739999,0.05520857,12,8000.0,0.04432,DATABTC
13,1594306740000,556.0,556.0,556.0,556.0,37.0,1594306799999,0.00020572,3,37.0,0.00020572,DATABTC
14,1594306800000,556.0,556.0,555.0,555.0,9857.0,1594306859999,0.05471736,10,7826.0,0.04344531,DATABTC
15,1594306860000,555.0,555.0,555.0,555.0,16107.0,1594306919999,0.08939385,3,16107.0,0.08939385,DATABTC
16,1594306920000,555.0,555.0,555.0,555.0,1967.0,1594306979999,0.01091685,2,0.0,0.0,DATABTC
17,1594306980000,554.0,554.0,553.0,553.0,9377.0,1594307039999,0.05185888,11,0.0,0.0,DATABTC
18,1594307040000,553.0,553.0,553.0,553.0,0.0,1594307099999,0.0,0,0.0,0.0,DATABTC
19,1594307100000,552.0,554.0,552.0,552.0,56073.0,1594307159999,0.30997194,7,31449.0,0.17404746,DATABTC
20,1594307160000,552.0,552.0,546.0,546.0,267739.0,1594307219999,1.46694315,96,7223.0,0.03958324,DATABTC
21,1594307220000,548.0,548.0,546.0,546.0,13739.0,1594307279999,0.07522483,7,7617.0,0.04174116,DATABTC
22,1594307280000,546.0,549.0,546.0,546.0,62634.0,1594307339999,0.34323719,13,43021.0,0.23615021,DATABTC
23,1594307340000,549.0,549.0,546.0,546.0,118520.0,1594307399999,0.6473079,5,6290.0,0.0345321,DATABTC
24,1594307400000,548.0,549.0,548.0,549.0,35748.0,1594307459999,0.1962278,8,32004.0,0.17567324,DATABTC
25,1594307460000,549.0,549.0,549.0,549.0,19.0,1594307519999,0.00010431,1,19.0,0.00010431,DATABTC
26,1594307520000,548.0,548.0,547.0,547.0,2277.0,1594307579999,0.01247514,3,1995.0,0.0109326,DATABTC
27,1594307580000,548.0,548.0,548.0,548.0,19.0,1594307639999,0.00010412,1,19.0,0.00010412,DATABTC
28,1594307640000,548.0,549.0,546.0,549.0,21884.0,1594307699999,0.11991599,7,14539.0,0.07981229,DATABTC
29,1594307700000,546.0,547.0,546.0,547.0,206905.0,1594307759999,1.12973053,26,0.0,0.0,DATABTC
30,1594307760000,546.0,548.0,546.0,548.0,1208.0,1594307819999,0.00659582,2,7.0,3.836e-05,DATABTC
31,1594307820000,548.0,548.0,548.0,548.0,688.0,1594307879999,0.00377024,1,688.0,0.00377024,DATABTC
32,1594307880000,546.0,548.0,546.0,548.0,902.0,1594307939999,0.00494198,4,59.0,0.00032332,DATABTC
33,1594307940000,548.0,548.0,548.0,548.0,0.0,1594307999999,0.0,0,0.0,0.0,DATABTC
34,1594308000000,549.0,549.0,548.0,548.0,4356.0,1594308059999,0.02389622,6,4356.0,0.02389622,DATABTC
35,1594308060000,548.0,548.0,548.0,548.0,748.0,1594308119999,0.00409904,1,748.0,0.00409904,DATABTC
36,1594308120000,548.0,548.0,546.0,548.0,10333.0,1594308179999,0.0565867,13,7646.0,0.04190008,DATABTC
37,1594308180000,548.0,548.0,548.0,548.0,0.0,1594308239999,0.0,0,0.0,0.0,DATABTC
38,1594308240000,548.0,549.0,548.0,549.0,20963.0,1594308299999,0.11496186,4,20963.0,0.11496186,DATABTC
39,1594308300000,549.0,549.0,549.0,549.0,0.0,1594308359999,0.0,0,0.0,0.0,DATABTC
40,1594308360000,549.0,549.0,549.0,549.0,0.0,1594308419999,0.0,0,0.0,0.0,DATABTC
41,1594308420000,547.0,547.0,546.0,546.0,98010.0,1594308479999,0.53520064,14,0.0,0.0,DATABTC
42,1594308480000,546.0,546.0,537.0,537.0,176890.0,1594308539999,0.95913719,149,75949.0,0.41163539,DATABTC
43,1594308540000,540.0,540.0,538.0,539.0,18292.0,1594308599999,0.09854292,15,17010.0,0.09163689,DATABTC
44,1594308600000,539.0,540.0,538.0,540.0,72699.0,1594308659999,0.39186894,15,72680.0,0.39176672,DATABTC
45,1594308660000,538.0,540.0,538.0,540.0,95.0,1594308719999,0.00051224,2,57.0,0.0003078,DATABTC
46,1594308720000,540.0,540.0,539.0,540.0,4365.0,1594308779999,0.02356832,4,4097.0,0.0221238,DATABTC
47,1594308780000,539.0,539.0,539.0,539.0,254.0,1594308839999,0.00136906,1,0.0,0.0,DATABTC
48,1594308840000,538.0,538.0,535.0,535.0,175131.0,1594308899999,0.93829128,80,8044.0,0.04311629,DATABTC
49,1594308900000,536.0,536.0,535.0,535.0,8385.0,1594308959999,0.04491457,6,2373.0,0.01271928,DATABTC
50,1594308960000,536.0,537.0,536.0,537.0,2037.0,1594309019999,0.0109264,3,2037.0,0.0109264,DATABTC
51,1594309020000,535.0,537.0,535.0,536.0,104767.0,1594309079999,0.56193574,17,54975.0,0.295051,DATABTC
52,1594309080000,536.0,536.0,535.0,536.0,13991.0,1594309139999,0.07496922,7,11737.0,0.06291032,DATABTC
53,1594309140000,536.0,536.0,533.0,534.0,123694.0,1594309199999,0.66082631,29,81356.0,0.43454104,DATABTC
54,1594309200000,534.0,535.0,534.0,535.0,8551.0,1594309259999,0.04568832,7,8551.0,0.04568832,DATABTC
55,1594309260000,535.0,535.0,535.0,535.0,5851.0,1594309319999,0.03130285,4,5851.0,0.03130285,DATABTC
56,1594309320000,535.0,535.0,533.0,535.0,37128.0,1594309379999,0.19844308,17,18746.0,0.1002911,DATABTC
57,1594309380000,533.0,537.0,533.0,537.0,12335.0,1594309439999,0.06602595,18,10890.0,0.0583241,DATABTC
58,1594309440000,537.0,537.0,537.0,537.0,39381.0,1594309499999,0.21147597,7,39381.0,0.21147597,DATABTC
59,1594309500000,537.0,537.0,536.0,536.0,1591.0,1594309559999,0.00852807,3,31.0,0.00016647,DATABTC
60,1594309560000,536.0,536.0,536.0,536.0,1205.0,1594309619999,0.0064588,2,0.0,0.0,DATABTC
61,1594309620000,537.0,537.0,537.0,537.0,931.0,1594309679999,0.00499947,1,931.0,0.00499947,DATABTC
62,1594309680000,537.0,537.0,535.0,537.0,25715.0,1594309739999,0.13780791,12,164.0,0.00088068,DATABTC
63,1594309740000,537.0,537.0,537.0,537.0,731.0,1594309799999,0.00392547,2,731.0,0.00392547,DATABTC
64,1594309800000,537.0,537.0,537.0,537.0,1201.0,1594309859999,0.00644937,1,1201.0,0.00644937,DATABTC
65,1594309860000,537.0,538.0,536.0,536.0,9675.0,1594309919999,0.05192528,10,5851.0,0.03142522,DATABTC
66,1594309920000,537.0,538.0,536.0,536.0,11789.0,1594309979999,0.0632289,9,1159.0,0.00623542,DATABTC
67,1594309980000,536.0,536.0,536.0,536.0,0.0,1594310039999,0.0,0,0.0,0.0,DATABTC
68,1594310040000,538.0,538.0,538.0,538.0,5.0,1594310099999,2.69e-05,1,5.0,2.69e-05,DATABTC
69,1594310100000,538.0,538.0,538.0,538.0,0.0,1594310159999,0.0,0,0.0,0.0,DATABTC
70,1594310160000,538.0,538.0,538.0,538.0,6.0,1594310219999,3.228e-05,1,6.0,3.228e-05,DATABTC
71,1594310220000,538.0,538.0,538.0,538.0,7250.0,1594310279999,0.039005,4,7250.0,0.039005,DATABTC
72,1594310280000,538.0,538.0,537.0,537.0,58870.0,1594310339999,0.316152,2,2010.0,0.0108138,DATABTC
73,1594310340000,538.0,538.0,538.0,538.0,520.0,1594310399999,0.0027976,1,520.0,0.0027976,DATABTC
74,1594310400000,538.0,538.0,538.0,538.0,20358.0,1594310459999,0.10952604,6,18530.0,0.0996914,DATABTC
75,1594310460000,538.0,544.0,538.0,543.0,49819.0,1594310519999,0.26970041,58,48931.0,0.26489613,DATABTC
76,1594310520000,543.0,543.0,543.0,543.0,19.0,1594310579999,0.00010317,1,0.0,0.0,DATABTC
77,1594310580000,543.0,543.0,543.0,543.0,20.0,1594310639999,0.0001086,1,20.0,0.0001086,DATABTC
78,1594310640000,542.0,544.0,542.0,544.0,357.0,1594310699999,0.00193506,3,6.0,3.264e-05,DATABTC
79,1594310700000,543.0,543.0,542.0,542.0,1112.0,1594310759999,0.00602753,4,0.0,0.0,DATABTC
80,1594310760000,544.0,544.0,542.0,542.0,25589.0,1594310819999,0.13898946,13,14854.0,0.08080576,DATABTC
81,1594310820000,542.0,542.0,542.0,542.0,19.0,1594310879999,0.00010298,1,19.0,0.00010298,DATABTC
82,1594310880000,542.0,543.0,542.0,543.0,4608.0,1594310939999,0.02498336,2,3808.0,0.02063936,DATABTC
83,1594310940000,544.0,544.0,543.0,543.0,11227.0,1594310999999,0.06105469,7,9208.0,0.05009152,DATABTC
84,1594311000000,543.0,543.0,543.0,543.0,0.0,1594311059999,0.0,0,0.0,0.0,DATABTC
85,1594311060000,543.0,543.0,543.0,543.0,19.0,1594311119999,0.00010317,1,0.0,0.0,DATABTC
86,1594311120000,545.0,545.0,545.0,545.0,20.0,1594311179999,0.000109,1,20.0,0.000109,DATABTC
87,1594311180000,543.0,546.0,543.0,546.0,22979.0,1594311239999,0.12512492,24,13305.0,0.07252379,DATABTC
88,1594311240000,546.0,546.0,546.0,546.0,2323.0,1594311299999,0.01268358,4,2323.0,0.01268358,DATABTC
