,open_time,open,high,low,close,volume,close_time,quote_asset_volume,n_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,pairing
0,1596478380000,0.00001560,0.00001560,0.00001560,0.00001560,683.00000000,1596478439999,0.01065480,1,0.00000000,0.00000000,ENJBTC
1,1596478440000,0.00001560,0.00001561,0.00001558,0.00001561,52.00000000,1596478499999,0.00081073,5,27.00000000,0.00042123,ENJBTC
2,1596478500000,0.00001561,0.00001561,0.00001561,0.00001561,0.00000000,1596478559999,0.00000000,0,0.00000000,0.00000000,ENJBTC
3,1596478560000,0.00001558,0.00001558,0.00001555,0.00001555,11925.00000000,1596478619999,0.18553674,12,0.00000000,0.00000000,ENJBTC
4,1596478620000,0.00001555,0.00001555,0.00001555,0.00001555,15124.00000000,1596478679999,0.23517820,7,0.00000000,0.00000000,ENJBTC
5,1596478680000,0.00001555,0.00001555,0.00001555,0.00001555,0.00000000,1596478739999,0.00000000,0,0.00000000,0.00000000,ENJBTC
6,1596478740000,0.00001554,0.00001554,0.00001554,0.00001554,4175.00000000,1596478799999,0.06487950,6,0.00000000,0.00000000,ENJBTC
7,1596478800000,0.00001554,0.00001554,0.00001554,0.00001554,1119.00000000,1596478859999,0.01738926,4,714.00000000,0.01109556,ENJBTC
8,1596478860000,0.00001554,0.00001554,0.00001554,0.00001554,3730.00000000,1596478919999,0.05796420,2,3730.00000000,0.05796420,ENJBTC
9,1596478920000,0.00001554,0.00001554,0.00001554,0.00001554,0.00000000,1596478979999,0.00000000,0,0.00000000,0.00000000,ENJBTC
10,1596478980000,0.00001554,0.00001554,0.00001554,0.00001554,0.00000000,1596479039999,0.00000000,0,0.00000000,0.00000000,ENJBTC
11,1596479040000,0.00001555,0.00001555,0.00001555,0.00001555,2582.00000000,1596479099999,0.04015010,3,2582.00000000,0.04015010,ENJBTC
12,1596479100000,0.00001555,0.00001555,0.00001555,0.00001555,0.00000000,1596479159999,0.00000000,0,0.00000000,0.00000000,ENJBTC
13,1596479160000,0.00001557,0.00001558,0.00001557,0.00001557,3329.00000000,1596479219999,0.05186457,13,3329.00000000,0.05186457,ENJBTC
14,1596479220000,0.00001557,0.00001557,0.00001557,0.00001557,0.00000000,1596479279999,0.00000000,0,0.00000000,0.00000000,ENJBTC
15,1596479280000,0.00001559,0.00001559,0.00001559,0.00001559,55.00000000,1596479339999,0.00085745,1,55.00000000,0.00085745,ENJBTC
16,1596479340000,0.00001558,0.00001559,0.00001558,0.00001558,23081.00000000,1596479399999,0.35973024,20,23081.00000000,0.35973024,ENJBTC
17,1596479400000,0.00001559,0.00001559,0.00001559,0.00001559,126.00000000,1596479459999,0.00196434,1,0.00000000,0.00000000,ENJBTC
18,1596479460000,0.00001560,0.00001560,0.00001558,0.00001558,699.00000000,1596479519999,0.01089422,8,536.00000000,0.00835468,ENJBTC
19,1596479520000,0.00001556,0.00001558,0.00001554,0.00001554,20544.00000000,1596479579999,0.31936983,15,9200.00000000,0.14298332,ENJBTC
20,1596479580000,0.00001554,0.00001554,0.00001553,0.00001553,18082.00000000,1596479639999,0.28090097,5,7196.00000000,0.11175388,ENJBTC
21,1596479640000,0.00001552,0.00001552,0.00001552,0.00001552,18.00000000,1596479699999,0.00027936,2,0.00000000,0.00000000,ENJBTC
22,1596479700000,0.00001555,0.00001582,0.00001555,0.00001575,153648.00000000,1596479759999,2.40824036,114,102852.00000000,1.61020114,ENJBTC
23,1596479760000,0.00001574,0.00001578,0.00001574,0.00001578,4816.00000000,1596479819999,0.07598164,9,4445.00000000,0.07014210,ENJBTC
24,1596479820000,0.00001578,0.00001580,0.00001575,0.00001579,28283.00000000,1596479879999,0.44642458,34,27885.00000000,0.44015497,ENJBTC
25,1596479880000,0.00001578,0.00001578,0.00001576,0.00001578,4489.00000000,1596479939999,0.07083580,6,4489.00000000,0.07083580,ENJBTC
26,1596479940000,0.00001575,0.00001578,0.00001575,0.00001575,3432.00000000,1596479999999,0.05405529,10,43.00000000,0.00067854,ENJBTC
27,1596480000000,0.00001577,0.00001579,0.00001574,0.00001578,35076.00000000,1596480059999,0.55349312,14,35002.00000000,0.55232809,ENJBTC
28,1596480060000,0.00001578,0.00001578,0.00001578,0.00001578,0.00000000,1596480119999,0.00000000,0,0.00000000,0.00000000,ENJBTC
29,1596480120000,0.00001575,0.00001576,0.00001575,0.00001576,273.00000000,1596480179999,0.00430217,4,242.00000000,0.00381392,ENJBTC
30,1596480180000,0.00001576,0.00001576,0.00001576,0.00001576,0.00000000,1596480239999,0.00000000,0,0.00000000,0.00000000,ENJBTC
31,1596480240000,0.00001575,0.00001575,0.00001575,0.00001575,40.00000000,1596480299999,0.00063000,1,0.00000000,0.00000000,ENJBTC
32,1596480300000,0.00001576,0.00001576,0.00001576,0.00001576,273.00000000,1596480359999,0.00430248,2,8.00000000,0.00012608,ENJBTC
