,open_time,open,high,low,close,volume,close_time,quote_asset_volume,n_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,pairing
0,1634440140000,0.00014190,0.00014190,0.00014180,0.00014180,2.90000000,1634440199999,0.00041137,2,1.50000000,0.00021285,GTCBTC
1,1634440200000,0.00014180,0.00014190,0.00014160,0.00014160,258.80000000,1634440259999,0.03669769,5,255.90000000,0.03628675,GTCBTC
2,1634440260000,0.00014190,0.00014190,0.00014190,0.00014190,1.50000000,1634440319999,0.00021285,1,1.50000000,0.00021285,GTCBTC
3,1634440320000,0.00014210,0.00014210,0.00014210,0.00014210,3.20000000,1634440379999,0.00045472,1,3.20000000,0.00045472,GTCBTC
4,1634440380000,0.00014210,0.00014210,0.00014190,0.00014190,44.80000000,1634440439999,0.00636568,3,42.80000000,0.00608188,GTCBTC
5,1634440440000,0.00014140,0.00014140,0.00014140,0.00014140,42.80000000,1634440499999,0.00605192,1,0.00000000,0.00000000,GTCBTC
6,1634440500000,0.00014280,0.00014280,0.00014280,0.00014280,0.90000000,1634440559999,0.00012852,1,0.90000000,0.00012852,GTCBTC
7,1634440560000,0.00014350,0.00014610,0.00014350,0.00014580,281.00000000,1634440619999,0.04048512,14,281.00000000,0.04048512,GTCBTC
8,1634440620000,0.00014490,0.00014550,0.00014490,0.00014500,490.70000000,1634440679999,0.07113555,6,441.90000000,0.06405775,GTCBTC
9,1634440680000,0.00014530,0.00014530,0.00014440,0.00014440,479.60000000,1634440739999,0.06938764,5,50.80000000,0.00738108,GTCBTC
10,1634440740000,0.00014550,0.00014560,0.00014540,0.00014560,213.10000000,1634440799999,0.03101232,5,146.20000000,0.02127210,GTCBTC
11,1634440800000,0.00014570,0.00014570,0.00014520,0.00014520,10.50000000,1634440859999,0.00152589,3,10.50000000,0.00152589,GTCBTC
12,1634440860000,0.00014540,0.00014540,0.00014540,0.00014540,211.80000000,1634440919999,0.03079572,1,0.00000000,0.00000000,GTCBTC
13,1634440920000,0.00014550,0.00014550,0.00014470,0.00014470,611.90000000,1634440979999,0.08883076,16,0.80000000,0.00011632,GTCBTC
14,1634440980000,0.00014470,0.00014520,0.00014390,0.00014480,1125.10000000,1634441039999,0.16287189,28,0.00000000,0.00000000,GTCBTC
15,1634441040000,0.00014460,0.00014460,0.00014380,0.00014430,829.70000000,1634441099999,0.11980969,25,200.00000000,0.02888979,GTCBTC
16,1634441100000,0.00014450,0.00014450,0.00014410,0.00014430,80.40000000,1634441159999,0.01161361,7,0.00000000,0.00000000,GTCBTC
17,1634441160000,0.00014410,0.00014410,0.00014410,0.00014410,4.20000000,1634441219999,0.00060522,1,0.00000000,0.00000000,GTCBTC
18,1634441220000,0.00014390,0.00014400,0.00014380,0.00014390,312.60000000,1634441279999,0.04498772,4,312.60000000,0.04498772,GTCBTC
19,1634441280000,0.00014420,0.00014610,0.00014420,0.00014610,112.80000000,1634441339999,0.01632876,3,92.80000000,0.01340676,GTCBTC
20,1634441340000,0.00014580,0.00014580,0.00014520,0.00014520,260.20000000,1634441399999,0.03791245,4,251.60000000,0.03666295,GTCBTC
21,1634441400000,0.00014520,0.00014650,0.00014500,0.00014560,243.50000000,1634441459999,0.03546497,12,87.70000000,0.01284805,GTCBTC
22,1634441460000,0.00014600,0.00014640,0.00014600,0.00014640,37.60000000,1634441519999,0.00550040,2,10.60000000,0.00154760,GTCBTC
