,open_time,open,high,low,close,volume,close_time,quote_asset_volume,n_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,pairing
0,1634440140000,14190.0,14190.0,14180.0,14180.0,2.9,1634440199999,0.00041137,2,1.5,0.00021285,GTCBTC
1,1634440200000,14180.0,14190.0,14160.0,14160.0,258.8,1634440259999,0.03669769,5,255.9,0.03628675,GTCBTC
2,1634440260000,14190.0,14190.0,14190.0,14190.0,1.5,1634440319999,0.00021285,1,1.5,0.00021285,GTCBTC
3,1634440320000,14210.0,14210.0,14210.0,14210.0,3.2,1634440379999,0.00045472,1,3.2,0.00045472,GTCBTC
4,1634440380000,14210.0,14210.0,14190.0,14190.0,44.8,1634440439999,0.00636568,3,42.8,0.00608188,GTCBTC
5,1634440440000,14140.0,14140.0,14140.0,14140.0,42.8,1634440499999,0.00605192,1,0.0,0.0,GTCBTC
6,1634440500000,14280.0,14280.0,14280.0,14280.0,0.9,1634440559999,0.00012852,1,0.9,0.00012852,GTCBTC
7,1634440560000,14350.0,14610.0,14350.0,14580.0,281.0,1634440619999,0.04048512,14,281.0,0.04048512,GTCBTC
8,1634440620000,14490.0,14550.0,14490.0,14500.0,490.7,1634440679999,0.07113555,6,441.9,0.06405775,GTCBTC
9,1634440680000,14530.0,14530.0,14440.0,14440.0,479.6,1634440739999,0.06938764,5,50.8,0.00738108,GTCBTC
10,1634440740000,14550.0,14560.0,14540.0,14560.0,213.1,1634440799999,0.03101232,5,146.2,0.0212721,GTCBTC
11,1634440800000,14570.0,14570.0,14520.0,14520.0,10.5,1634440859999,0.00152589,3,10.5,0.00152589,GTCBTC
12,1634440860000,14540.0,14540.0,14540.0,14540.0,211.8,1634440919999,0.03079572,1,0.0,0.0,GTCBTC
13,1634440920000,14550.0,14550.0,14470.0,14470.0,611.9,1634440979999,0.08883076,16,0.8,0.00011632,GTCBTC
14,1634440980000,14470.0,14520.0,14390.0,14480.0,1125.1,1634441039999,0.16287189,28,0.0,0.0,GTCBTC
