,open_time,open,high,low,close,volume,close_time,quote_asset_volume,n_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,pairing
0,1613482260000,0.00009510,0.00009510,0.00009510,0.00009510,0.00000000,1613482319999,0.00000000,0,0.00000000,0.00000000,GVTBTC
1,1613482320000,0.00009500,0.00009650,0.00009500,0.00009580,2219.86000000,1613482379999,0.21363983,27,2214.36000000,0.21311293,GVTBTC
2,1613482380000,0.00009530,0.00009530,0.00009520,0.00009520,53.20000000,1613482439999,0.00506535,3,0.00000000,0.00000000,GVTBTC
3,1613482440000,0.00009550,0.00009550,0.00009550,0.00009550,72.56000000,1613482499999,0.00692948,1,0.00000000,0.00000000,GVTBTC
4,1613482500000,0.00009550,0.00009550,0.00009530,0.00009530,100.95000000,1613482559999,0.00962582,4,80.47000000,0.00767408,GVTBTC
5,1613482560000,0.00009520,0.00009520,0.00009520,0.00009520,74.59000000,1613482619999,0.00710096,1,0.00000000,0.00000000,GVTBTC
6,1613482620000,0.00009520,0.00009520,0.00009520,0.00009520,0.00000000,1613482679999,0.00000000,0,0.00000000,0.00000000,GVTBTC
7,1613482680000,0.00009550,0.00009550,0.00009550,0.00009550,56.71000000,1613482739999,0.00541580,1,56.71000000,0.00541580,GVTBTC
8,1613482740000,0.00009550,0.00009550,0.00009550,0.00009550,0.00000000,1613482799999,0.00000000,0,0.00000000,0.00000000,GVTBTC
9,1613482800000,0.00009550,0.00009550,0.00009550,0.00009550,0.00000000,1613482859999,0.00000000,0,0.00000000,0.00000000,GVTBTC
10,1613482860000,0.00009550,0.00009550,0.00009550,0.00009550,0.00000000,1613482919999,0.00000000,0,0.00000000,0.00000000,GVTBTC
11,1613482920000,0.00009540,0.00009540,0.00009540,0.00009540,1.30000000,1613482979999,0.00012402,1,0.00000000,0.00000000,GVTBTC
12,1613482980000,0.00009540,0.00009550,0.00009540,0.00009550,85.73000000,1613483039999,0.00818708,5,85.73000000,0.00818708,GVTBTC
13,1613483040000,0.00009550,0.00009550,0.00009550,0.00009550,0.00000000,1613483099999,0.00000000,0,0.00000000,0.00000000,GVTBTC
14,1613483100000,0.00009560,0.00009610,0.00009560,0.00009610,91.54000000,1613483159999,0.00879171,7,85.80000000,0.00824297,GVTBTC
15,1613483160000,0.00009590,0.00009650,0.00009590,0.00009650,81.39000000,1613483219999,0.00784590,5,81.39000000,0.00784590,GVTBTC
16,1613483220000,0.00009590,0.00009610,0.00009590,0.00009590,38.90000000,1613483279999,0.00373184,5,0.00000000,0.00000000,GVTBTC
17,1613483280000,0.00009590,0.00009590,0.00009590,0.00009590,0.00000000,1613483339999,0.00000000,0,0.00000000,0.00000000,GVTBTC
18,1613483340000,0.00009590,0.00009590,0.00009590,0.00009590,0.00000000,1613483399999,0.00000000,0,0.00000000,0.00000000,GVTBTC
19,1613483400000,0.00009610,0.00009610,0.00009610,0.00009610,3.66000000,1613483459999,0.00035172,1,0.00000000,0.00000000,GVTBTC
20,1613483460000,0.00009650,0.00009670,0.00009650,0.00009660,130.51000000,1613483519999,0.01261394,22,114.51000000,0.01106834,GVTBTC
21,1613483520000,0.00009660,0.00009660,0.00009660,0.00009660,9.90000000,1613483579999,0.00095634,1,9.90000000,0.00095634,GVTBTC
22,1613483580000,0.00009660,0.00009660,0.00009660,0.00009660,0.00000000,1613483639999,0.00000000,0,0.00000000,0.00000000,GVTBTC
23,1613483640000,0.00009630,0.00009630,0.00009600,0.00009600,157.25000000,1613483699999,0.01511188,6,33.61000000,0.00323664,GVTBTC
24,1613483700000,0.00009600,0.00009630,0.00009600,0.00009630,6.76000000,1613483759999,0.00064958,3,2.09000000,0.00020126,GVTBTC
25,1613483760000,0.00009620,0.00009620,0.00009620,0.00009620,1.18000000,1613483819999,0.00011351,1,0.00000000,0.00000000,GVTBTC
26,1613483820000,0.00009620,0.00009660,0.00009620,0.00009630,145.65000000,1613483879999,0.01402883,9,134.44000000,0.01295046,GVTBTC
27,1613483880000,0.00009630,0.00009630,0.00009630,0.00009630,0.00000000,1613483939999,0.00000000,0,0.00000000,0.00000000,GVTBTC
28,1613483940000,0.00009670,0.00009670,0.00009610,0.00009630,89.86000000,1613483999999,0.00865794,14,68.39000000,0.00659260,GVTBTC
29,1613484000000,0.00009620,0.00009660,0.00009620,0.00009660,86.61000000,1613484059999,0.00833306,2,2.95000000,0.00028497,GVTBTC
30,1613484060000,0.00009660,0.00009660,0.00009660,0.00009660,0.00000000,1613484119999,0.00000000,0,0.00000000,0.00000000,GVTBTC
31,1613484120000,0.00009670,0.00009670,0.00009650,0.00009650,11.60000000,1613484179999,0.00112006,3,1.47000000,0.00014214,GVTBTC
