,open_time,open,high,low,close,volume,close_time,quote_asset_volume,n_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,pairing
0,1596975780000,3515.0,3515.0,3511.0,3512.0,190.0,1596975839999,0.00667155,7,4.0,0.0001406,ICXBTC
1,1596975840000,3514.0,3515.0,3512.0,3513.0,8508.0,1596975899999,0.29904774,13,8095.0,0.2845371,ICXBTC
2,1596975900000,3513.0,3514.0,3510.0,3512.0,2083.0,1596975959999,0.07317812,13,4.0,0.00014048,ICXBTC
3,1596975960000,3513.0,3513.0,3513.0,3513.0,70.0,1596976019999,0.0024591,1,70.0,0.0024591,ICXBTC
4,1596976020000,3514.0,3514.0,3514.0,3514.0,35.0,1596976079999,0.0012299,2,35.0,0.0012299,ICXBTC
5,1596976080000,3512.0,3512.0,3512.0,3512.0,1165.0,1596976139999,0.0409148,2,0.0,0.0,ICXBTC
6,1596976140000,3514.0,3516.0,3512.0,3516.0,6033.0,1596976199999,0.21205631,20,5690.0,0.20000401,ICXBTC
7,1596976200000,3516.0,3516.0,3514.0,3514.0,2469.0,1596976259999,0.08676226,11,18.0,0.00063288,ICXBTC
8,1596976260000,3514.0,3515.0,3511.0,3515.0,6432.0,1596976319999,0.22595655,14,66.0,0.0023181,ICXBTC
9,1596976320000,3511.0,3516.0,3511.0,3516.0,978.0,1596976379999,0.03434635,3,203.0,0.0071361,ICXBTC
10,1596976380000,3515.0,3516.0,3510.0,3510.0,833.0,1596976439999,0.02925514,4,300.0,0.01054652,ICXBTC
11,1596976440000,3515.0,3516.0,3515.0,3515.0,978.0,1596976499999,0.03438392,10,954.0,0.03354032,ICXBTC
12,1596976500000,3511.0,3511.0,3511.0,3511.0,701.0,1596976559999,0.02461211,2,0.0,0.0,ICXBTC
13,1596976560000,3515.0,3516.0,3511.0,3511.0,2326.0,1596976619999,0.08177838,8,2315.0,0.08139217,ICXBTC
14,1596976620000,3515.0,3522.0,3515.0,3517.0,38708.0,1596976679999,1.36292865,46,24144.0,0.849987,ICXBTC
15,1596976680000,3517.0,3518.0,3516.0,3517.0,76.0,1596976739999,0.00267263,4,0.0,0.0,ICXBTC
16,1596976740000,3520.0,3526.0,3519.0,3525.0,1765.0,1596976799999,0.0622024,42,1552.0,0.05470208,ICXBTC
17,1596976800000,3525.0,3526.0,3516.0,3518.0,5682.0,1596976859999,0.2002381,22,3979.0,0.14028348,ICXBTC
18,1596976860000,3520.0,3520.0,3511.0,3511.0,1108.0,1596976919999,0.03896712,10,914.0,0.0321473,ICXBTC
19,1596976920000,3515.0,3520.0,3512.0,3513.0,12708.0,1596976979999,0.44701534,23,7570.0,0.26642467,ICXBTC
20,1596976980000,3519.0,3521.0,3500.0,3503.0,15047.0,1596977039999,0.52809919,31,1528.0,0.05372772,ICXBTC
21,1596977040000,3504.0,3507.0,3498.0,3504.0,25158.0,1596977099999,0.88062624,39,10342.0,0.36201651,ICXBTC
22,1596977100000,3504.0,3507.0,3499.0,3499.0,18569.0,1596977159999,0.65001339,29,11323.0,0.39634907,ICXBTC
23,1596977160000,3498.0,3507.0,3498.0,3507.0,9973.0,1596977219999,0.34899842,19,9067.0,0.31730106,ICXBTC
24,1596977220000,3500.0,3500.0,3498.0,3499.0,21563.0,1596977279999,0.75445925,17,3364.0,0.11770636,ICXBTC
25,1596977280000,3498.0,3498.0,3498.0,3498.0,4448.0,1596977339999,0.15559104,4,0.0,0.0,ICXBTC
26,1596977340000,3505.0,3505.0,3495.0,3495.0,14876.0,1596977399999,0.52053071,18,118.0,0.00413461,ICXBTC
27,1596977400000,3498.0,3500.0,3489.0,3489.0,2729.0,1596977459999,0.09537584,27,2223.0,0.07771543,ICXBTC
28,1596977460000,3496.0,3498.0,3488.0,3496.0,1958.0,1596977519999,0.06840254,11,1320.0,0.0461491,ICXBTC
29,1596977520000,3495.0,3498.0,3487.0,3494.0,4465.0,1596977579999,0.15600902,24,4308.0,0.15053319,ICXBTC
30,1596977580000,3492.0,3508.0,3492.0,3500.0,14069.0,1596977639999,0.49214322,16,14069.0,0.49214322,ICXBTC
31,1596977640000,3491.0,3491.0,3490.0,3490.0,450.0,1596977699999,0.01570504,2,0.0,0.0,ICXBTC
32,1596977700000,3499.0,3512.0,3497.0,3497.0,8442.0,1596977759999,0.29558441,21,4963.0,0.17372859,ICXBTC
33,1596977760000,3501.0,3501.0,3500.0,3501.0,2586.0,1596977819999,0.09053499,9,2586.0,0.09053499,ICXBTC
34,1596977820000,3500.0,3501.0,3500.0,3501.0,1518.0,1596977879999,0.05314125,6,1125.0,0.03938625,ICXBTC
35,1596977880000,3500.0,3501.0,3494.0,3500.0,15783.0,1596977939999,0.55203144,20,7331.0,0.2566249,ICXBTC
36,1596977940000,3494.0,3494.0,3488.0,3490.0,31872.0,1596977999999,1.11254655,39,18491.0,0.64533478,ICXBTC
37,1596978000000,3494.0,3494.0,3490.0,3490.0,2942.0,1596978059999,0.10267592,3,2942.0,0.10267592,ICXBTC
38,1596978060000,3487.0,3490.0,3486.0,3489.0,9613.0,1596978119999,0.33540518,13,7262.0,0.2534388,ICXBTC
39,1596978120000,3489.0,3490.0,3487.0,3487.0,7301.0,1596978179999,0.25478701,8,4619.0,0.1611853,ICXBTC
40,1596978180000,3487.0,3487.0,3487.0,3487.0,0.0,1596978239999,0.0,0,0.0,0.0,ICXBTC
41,1596978240000,3491.0,3491.0,3481.0,3485.0,5075.0,1596978299999,0.1770412,18,2811.0,0.09812427,ICXBTC
42,1596978300000,3485.0,3485.0,3477.0,3479.0,1059.0,1596978359999,0.03685242,13,272.0,0.0094717,ICXBTC
43,1596978360000,3480.0,3480.0,3480.0,3480.0,3120.0,1596978419999,0.108576,4,3120.0,0.108576,ICXBTC
44,1596978420000,3480.0,3480.0,3473.0,3473.0,4852.0,1596978479999,0.16872319,15,3007.0,0.1046436,ICXBTC
45,1596978480000,3472.0,3476.0,3472.0,3476.0,1884.0,1596978539999,0.06544196,5,737.0,0.02561812,ICXBTC
46,1596978540000,3478.0,3483.0,3473.0,3476.0,8952.0,1596978599999,0.31141858,24,7213.0,0.25098259,ICXBTC
47,1596978600000,3476.0,3484.0,3476.0,3484.0,3962.0,1596978659999,0.13798556,14,3847.0,0.13398816,ICXBTC
48,1596978660000,3487.0,3487.0,3479.0,3481.0,629.0,1596978719999,0.02190456,8,321.0,0.0111848,ICXBTC
49,1596978720000,3483.0,3483.0,3473.0,3475.0,17519.0,1596978779999,0.60890243,14,2475.0,0.0860254,ICXBTC
50,1596978780000,3475.0,3481.0,3474.0,3481.0,1887.0,1596978839999,0.06559537,4,575.0,0.02001575,ICXBTC
51,1596978840000,3481.0,3482.0,3481.0,3481.0,9146.0,1596978899999,0.31840108,9,5930.0,0.20645212,ICXBTC
52,1596978900000,3475.0,3475.0,3468.0,3473.0,32878.0,1596978959999,1.14211929,38,8805.0,0.30587472,ICXBTC
53,1596978960000,3472.0,3478.0,3472.0,3477.0,2377.0,1596979019999,0.08254067,5,2377.0,0.08254067,ICXBTC
54,1596979020000,3473.0,3473.0,3470.0,3470.0,886.0,1596979079999,0.03074822,5,716.0,0.0248452,ICXBTC
55,1596979080000,3469.0,3479.0,3469.0,3479.0,3837.0,1596979139999,0.13336221,15,3068.0,0.1066668,ICXBTC
56,1596979140000,3479.0,3480.0,3478.0,3480.0,3582.0,1596979199999,0.12463953,5,3568.0,0.12415261,ICXBTC
