,open_time,open,high,low,close,volume,close_time,quote_asset_volume,n_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,pairing
0,1637321460000,0.00001106,0.00001107,0.00001106,0.00001106,1330.00000000,1637321519999,0.01471522,6,696.00000000,0.00770318,MDABTC
1,1637321520000,0.00001107,0.00001107,0.00001106,0.00001106,748.00000000,1637321579999,0.00827744,3,456.00000000,0.00504792,MDABTC
2,1637321580000,0.00001106,0.00001106,0.00001105,0.00001106,1292.00000000,1637321639999,0.01428847,7,291.00000000,0.00321846,MDABTC
3,1637321640000,0.00001105,0.00001105,0.00001103,0.00001104,1636.00000000,1637321699999,0.01806298,6,594.00000000,0.00655776,MDABTC
4,1637321700000,0.00001105,0.00001105,0.00001102,0.00001102,2020.00000000,1637321759999,0.02227838,8,56.00000000,0.00061880,MDABTC
5,1637321760000,0.00001103,0.00001105,0.00001103,0.00001105,1043.00000000,1637321819999,0.01151247,5,384.00000000,0.00423956,MDABTC
6,1637321820000,0.00001106,0.00001106,0.00001105,0.00001105,1365.00000000,1637321879999,0.01508725,6,751.00000000,0.00830255,MDABTC
7,1637321880000,0.00001106,0.00001106,0.00001103,0.00001103,1946.00000000,1637321939999,0.02151544,6,1469.00000000,0.01624714,MDABTC
8,1637321940000,0.00001103,0.00001104,0.00001103,0.00001104,914.00000000,1637321999999,0.01008624,4,794.00000000,0.00876264,MDABTC
9,1637322000000,0.00001103,0.00001105,0.00001103,0.00001105,574.00000000,1637322059999,0.00633347,4,273.00000000,0.00301344,MDABTC
10,1637322060000,0.00001104,0.00001105,0.00001104,0.00001105,1187.00000000,1637322119999,0.01311276,7,686.00000000,0.00758030,MDABTC
11,1637322120000,0.00001105,0.00001106,0.00001104,0.00001104,458.00000000,1637322179999,0.00506052,4,24.00000000,0.00026532,MDABTC
12,1637322180000,0.00001103,0.00001103,0.00001102,0.00001102,735.00000000,1637322239999,0.00810210,3,79.00000000,0.00087137,MDABTC
13,1637322240000,0.00001103,0.00001104,0.00001103,0.00001103,931.00000000,1637322299999,0.01027406,4,930.00000000,0.01026303,MDABTC
14,1637322300000,0.00001103,0.00001103,0.00001102,0.00001102,962.00000000,1637322359999,0.01060601,6,349.00000000,0.00384947,MDABTC
15,1637322360000,0.00001102,0.00001105,0.00001102,0.00001105,827.00000000,1637322419999,0.00912502,4,827.00000000,0.00912502,MDABTC
16,1637322420000,0.00001104,0.00001104,0.00001104,0.00001104,927.00000000,1637322479999,0.01023408,3,13.00000000,0.00014352,MDABTC
