,open_time,open,high,low,close,volume,close_time,quote_asset_volume,n_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,pairing
0,1637321460000,1106.0,1107.0,1106.0,1106.0,1330.0,1637321519999,0.01471522,6,696.0,0.00770318,MDABTC
1,1637321520000,1107.0,1107.0,1106.0,1106.0,748.0,1637321579999,0.00827744,3,456.0,0.00504792,MDABTC
2,1637321580000,1106.0,1106.0,1105.0,1106.0,1292.0,1637321639999,0.01428847,7,291.0,0.00321846,MDABTC
3,1637321640000,1105.0,1105.0,1103.0,1104.0,1636.0,1637321699999,0.01806298,6,594.0,0.00655776,MDABTC
4,1637321700000,1105.0,1105.0,1102.0,1102.0,2020.0,1637321759999,0.02227838,8,56.0,0.0006188,MDABTC
5,1637321760000,1103.0,1105.0,1103.0,1105.0,1043.0,1637321819999,0.01151247,5,384.0,0.00423956,MDABTC
6,1637321820000,1106.0,1106.0,1105.0,1105.0,1365.0,1637321879999,0.01508725,6,751.0,0.00830255,MDABTC
7,1637321880000,1106.0,1106.0,1103.0,1103.0,1946.0,1637321939999,0.02151544,6,1469.0,0.01624714,MDABTC
8,1637321940000,1103.0,1104.0,1103.0,1104.0,914.0,1637321999999,0.01008624,4,794.0,0.00876264,MDABTC
9,1637322000000,1103.0,1105.0,1103.0,1105.0,574.0,1637322059999,0.00633347,4,273.0,0.00301344,MDABTC
10,1637322060000,1104.0,1105.0,1104.0,1105.0,1187.0,1637322119999,0.01311276,7,686.0,0.0075803,MDABTC
11,1637322120000,1105.0,1106.0,1104.0,1104.0,458.0,1637322179999,0.00506052,4,24.0,0.00026532,MDABTC
12,1637322180000,1103.0,1103.0,1102.0,1102.0,735.0,1637322239999,0.0081021,3,79.0,0.00087137,MDABTC
13,1637322240000,1103.0,1104.0,1103.0,1103.0,931.0,1637322299999,0.01027406,4,930.0,0.01026303,MDABTC
14,1637322300000,1103.0,1103.0,1102.0,1102.0,962.0,1637322359999,0.01060601,6,349.0,0.00384947,MDABTC
15,1637322360000,1102.0,1105.0,1102.0,1105.0,827.0,1637322419999,0.00912502,4,827.0,0.00912502,MDABTC
16,1637322420000,1104.0,1104.0,1104.0,1104.0,927.0,1637322479999,0.01023408,3,13.0,0.00014352,MDABTC
17,1637322480000,1105.0,1106.0,1104.0,1104.0,1363.0,1637322539999,0.01506868,6,767.0,0.0084808,MDABTC
18,1637322540000,1103.0,1103.0,1101.0,1102.0,1763.0,1637322599999,0.01942755,7,638.0,0.00703076,MDABTC
19,1637322600000,1102.0,1104.0,1102.0,1104.0,574.0,1637322659999,0.00632894,4,505.0,0.00556856,MDABTC
20,1637322660000,1104.0,1105.0,1102.0,1102.0,895.0,1637322719999,0.00987498,5,28.0,0.0003094,MDABTC
21,1637322720000,1102.0,1104.0,1102.0,1104.0,1592.0,1637322779999,0.0175594,7,771.0,0.00850377,MDABTC
22,1637322780000,1105.0,1107.0,1105.0,1107.0,1146.0,1637322839999,0.01267903,5,1146.0,0.01267903,MDABTC
23,1637322840000,1106.0,1106.0,1106.0,1106.0,605.0,1637322899999,0.0066913,5,300.0,0.003318,MDABTC
24,1637322900000,1106.0,1107.0,1105.0,1105.0,556.0,1637322959999,0.00614888,6,405.0,0.00447987,MDABTC
25,1637322960000,1105.0,1106.0,1105.0,1105.0,1237.0,1637323019999,0.0136775,5,690.0,0.00762864,MDABTC
26,1637323020000,1105.0,1105.0,1103.0,1103.0,1419.0,1637323079999,0.01567072,7,836.0,0.0092378,MDABTC
27,1637323080000,1102.0,1103.0,1102.0,1103.0,506.0,1637323139999,0.00557908,3,366.0,0.00403628,MDABTC
28,1637323140000,1103.0,1103.0,1099.0,1100.0,1560.0,1637323199999,0.01717124,10,544.0,0.00598244,MDABTC
29,1637323200000,1100.0,1100.0,1100.0,1100.0,0.0,1637323259999,0.0,0,0.0,0.0,MDABTC
30,1637323260000,1100.0,1100.0,1099.0,1099.0,378.0,1637323319999,0.00415515,2,93.0,0.001023,MDABTC
31,1637323320000,1098.0,1098.0,1098.0,1098.0,865.0,1637323379999,0.0094977,2,0.0,0.0,MDABTC
32,1637323380000,1100.0,1100.0,1100.0,1100.0,1048.0,1637323439999,0.011528,3,323.0,0.003553,MDABTC
33,1637323440000,1100.0,1100.0,1100.0,1100.0,0.0,1637323499999,0.0,0,0.0,0.0,MDABTC
34,1637323500000,1100.0,1100.0,1100.0,1100.0,0.0,1637323559999,0.0,0,0.0,0.0,MDABTC
35,1637323560000,1101.0,1101.0,1101.0,1101.0,187.0,1637323619999,0.00205887,1,187.0,0.00205887,MDABTC
36,1637323620000,1101.0,1101.0,1101.0,1101.0,0.0,1637323679999,0.0,0,0.0,0.0,MDABTC
37,1637323680000,1101.0,1101.0,1100.0,1100.0,538.0,1637323739999,0.00591852,2,0.0,0.0,MDABTC
38,1637323740000,1099.0,1099.0,1099.0,1099.0,192.0,1637323799999,0.00211008,1,0.0,0.0,MDABTC
39,1637323800000,1100.0,1100.0,1099.0,1099.0,320.0,1637323859999,0.00351904,4,224.0,0.002464,MDABTC
40,1637323860000,1100.0,1100.0,1100.0,1100.0,458.0,1637323919999,0.005038,3,458.0,0.005038,MDABTC
41,1637323920000,1100.0,1100.0,1100.0,1100.0,272.0,1637323979999,0.002992,1,0.0,0.0,MDABTC
42,1637323980000,1100.0,1100.0,1100.0,1100.0,0.0,1637324039999,0.0,0,0.0,0.0,MDABTC
43,1637324040000,1099.0,1100.0,1099.0,1100.0,122.0,1637324099999,0.00134174,2,96.0,0.001056,MDABTC
