,open_time,open,high,low,close,volume,close_time,quote_asset_volume,n_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,pairing
0,1636543860000,0.00000800,0.00000800,0.00000800,0.00000800,39.00000000,1636543919999,0.00031200,1,39.00000000,0.00031200,NASBTC
1,1636543920000,0.00000800,0.00000800,0.00000800,0.00000800,163.00000000,1636543979999,0.00130400,1,163.00000000,0.00130400,NASBTC
2,1636543980000,0.00000790,0.00000800,0.00000790,0.00000800,1027.00000000,1636544039999,0.00811720,3,39.00000000,0.00031200,NASBTC
3,1636544040000,0.00000800,0.00000800,0.00000800,0.00000800,164.00000000,1636544099999,0.00131200,1,164.00000000,0.00131200,NASBTC
4,1636544100000,0.00000800,0.00000800,0.00000800,0.00000800,22.00000000,1636544159999,0.00017600,1,22.00000000,0.00017600,NASBTC
5,1636544160000,0.00000800,0.00000800,0.00000800,0.00000800,18.00000000,1636544219999,0.00014400,1,18.00000000,0.00014400,NASBTC
6,1636544220000,0.00000800,0.00000800,0.00000800,0.00000800,550.00000000,1636544279999,0.00440000,2,550.00000000,0.00440000,NASBTC
7,1636544280000,0.00000800,0.00000800,0.00000790,0.00000800,974.00000000,1636544339999,0.00771990,3,253.00000000,0.00202400,NASBTC
8,1636544340000,0.00000800,0.00000800,0.00000800,0.00000800,95.00000000,1636544399999,0.00076000,1,95.00000000,0.00076000,NASBTC
9,1636544400000,0.00000800,0.00000800,0.00000790,0.00000790,597.00000000,1636544459999,0.00473170,2,154.00000000,0.00123200,NASBTC
10,1636544460000,0.00000800,0.00000800,0.00000800,0.00000800,167.00000000,1636544519999,0.00133600,1,167.00000000,0.00133600,NASBTC
11,1636544520000,0.00000800,0.00000800,0.00000790,0.00000790,852.00000000,1636544579999,0.00673390,3,31.00000000,0.00024800,NASBTC
12,1636544580000,0.00000790,0.00000800,0.00000790,0.00000790,2075.00000000,1636544639999,0.01640220,8,97.00000000,0.00077600,NASBTC
13,1636544640000,0.00000790,0.00000800,0.00000790,0.00000800,354.00000000,1636544699999,0.00281030,2,137.00000000,0.00109600,NASBTC
14,1636544700000,0.00000800,0.00000800,0.00000800,0.00000800,80.00000000,1636544759999,0.00064000,1,80.00000000,0.00064000,NASBTC
