,open_time,open,high,low,close,volume,close_time,quote_asset_volume,n_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,pairing
0,1636543860000,800.0,800.0,800.0,800.0,39.0,1636543919999,0.000312,1,39.0,0.000312,NASBTC
1,1636543920000,800.0,800.0,800.0,800.0,163.0,1636543979999,0.001304,1,163.0,0.001304,NASBTC
2,1636543980000,790.0,800.0,790.0,800.0,1027.0,1636544039999,0.0081172,3,39.0,0.000312,NASBTC
3,1636544040000,800.0,800.0,800.0,800.0,164.0,1636544099999,0.001312,1,164.0,0.001312,NASBTC
4,1636544100000,800.0,800.0,800.0,800.0,22.0,1636544159999,0.000176,1,22.0,0.000176,NASBTC
5,1636544160000,800.0,800.0,800.0,800.0,18.0,1636544219999,0.000144,1,18.0,0.000144,NASBTC
6,1636544220000,800.0,800.0,800.0,800.0,550.0,1636544279999,0.0044,2,550.0,0.0044,NASBTC
7,1636544280000,800.0,800.0,790.0,800.0,974.0,1636544339999,0.0077199,3,253.0,0.002024,NASBTC
8,1636544340000,800.0,800.0,800.0,800.0,95.0,1636544399999,0.00076,1,95.0,0.00076,NASBTC
9,1636544400000,800.0,800.0,790.0,790.0,597.0,1636544459999,0.0047317,2,154.0,0.001232,NASBTC
10,1636544460000,800.0,800.0,800.0,800.0,167.0,1636544519999,0.001336,1,167.0,0.001336,NASBTC
11,1636544520000,800.0,800.0,790.0,790.0,852.0,1636544579999,0.0067339,3,31.0,0.000248,NASBTC
12,1636544580000,790.0,800.0,790.0,790.0,2075.0,1636544639999,0.0164022,8,97.0,0.000776,NASBTC
13,1636544640000,790.0,800.0,790.0,800.0,354.0,1636544699999,0.0028103,2,137.0,0.001096,NASBTC
14,1636544700000,800.0,800.0,800.0,800.0,80.0,1636544759999,0.00064,1,80.0,0.00064,NASBTC
15,1636544760000,800.0,800.0,790.0,790.0,865.0,1636544819999,0.006907,5,735.0,0.00588,NASBTC
16,1636544820000,800.0,800.0,800.0,800.0,49.0,1636544879999,0.000392,2,49.0,0.000392,NASBTC
17,1636544880000,800.0,800.0,800.0,800.0,724.0,1636544939999,0.005792,2,724.0,0.005792,NASBTC
18,1636544940000,800.0,800.0,800.0,800.0,100.0,1636544999999,0.0008,1,100.0,0.0008,NASBTC
19,1636545000000,800.0,800.0,800.0,800.0,36.0,1636545059999,0.000288,1,36.0,0.000288,NASBTC
20,1636545060000,800.0,800.0,790.0,790.0,202.0,1636545119999,0.0016137,3,179.0,0.001432,NASBTC
21,1636545120000,800.0,800.0,790.0,790.0,167.0,1636545179999,0.0013303,3,110.0,0.00088,NASBTC
22,1636545180000,800.0,800.0,800.0,800.0,452.0,1636545239999,0.003616,2,452.0,0.003616,NASBTC
23,1636545240000,800.0,800.0,800.0,800.0,820.0,1636545299999,0.00656,5,820.0,0.00656,NASBTC
24,1636545300000,800.0,800.0,800.0,800.0,13.0,1636545359999,0.000104,1,13.0,0.000104,NASBTC
25,1636545360000,800.0,800.0,800.0,800.0,218.0,1636545419999,0.001744,2,218.0,0.001744,NASBTC
26,1636545420000,800.0,800.0,800.0,800.0,866.0,1636545479999,0.006928,10,866.0,0.006928,NASBTC
27,1636545480000,800.0,800.0,800.0,800.0,100.0,1636545539999,0.0008,2,100.0,0.0008,NASBTC
28,1636545540000,800.0,800.0,790.0,790.0,2034.0,1636545599999,0.0162493,22,1807.0,0.014456,NASBTC
29,1636545600000,800.0,800.0,800.0,800.0,590.0,1636545659999,0.00472,6,590.0,0.00472,NASBTC
30,1636545660000,800.0,800.0,800.0,800.0,0.0,1636545719999,0.0,0,0.0,0.0,NASBTC
31,1636545720000,790.0,800.0,790.0,800.0,176.0,1636545779999,0.0014067,4,163.0,0.001304,NASBTC
32,1636545780000,800.0,800.0,800.0,800.0,2672.0,1636545839999,0.021376,2,2672.0,0.021376,NASBTC
33,1636545840000,800.0,800.0,790.0,790.0,206.0,1636545899999,0.0016298,2,24.0,0.000192,NASBTC
34,1636545900000,800.0,800.0,800.0,800.0,97.0,1636545959999,0.000776,2,97.0,0.000776,NASBTC
35,1636545960000,790.0,800.0,790.0,800.0,1242.0,1636546019999,0.0098396,3,278.0,0.002224,NASBTC
36,1636546020000,800.0,800.0,800.0,800.0,7012.0,1636546079999,0.056096,14,5967.0,0.047736,NASBTC
37,1636546080000,800.0,800.0,800.0,800.0,39.0,1636546139999,0.000312,1,0.0,0.0,NASBTC
38,1636546140000,800.0,800.0,800.0,800.0,278.0,1636546199999,0.002224,2,0.0,0.0,NASBTC
39,1636546200000,800.0,800.0,800.0,800.0,29.0,1636546259999,0.000232,1,0.0,0.0,NASBTC
40,1636546260000,800.0,800.0,800.0,800.0,1480.0,1636546319999,0.01184,4,0.0,0.0,NASBTC
41,1636546320000,800.0,800.0,800.0,800.0,199.0,1636546379999,0.001592,1,0.0,0.0,NASBTC
42,1636546380000,800.0,800.0,800.0,800.0,3679.0,1636546439999,0.029432,7,0.0,0.0,NASBTC
43,1636546440000,800.0,800.0,800.0,800.0,3530.0,1636546499999,0.02824,6,0.0,0.0,NASBTC
44,1636546500000,800.0,800.0,800.0,800.0,81.0,1636546559999,0.000648,1,0.0,0.0,NASBTC
45,1636546560000,800.0,800.0,800.0,800.0,22.0,1636546619999,0.000176,1,0.0,0.0,NASBTC
46,1636546620000,800.0,800.0,800.0,800.0,151.0,1636546679999,0.001208,1,0.0,0.0,NASBTC
47,1636546680000,800.0,800.0,800.0,800.0,0.0,1636546739999,0.0,0,0.0,0.0,NASBTC
48,1636546740000,800.0,800.0,800.0,800.0,201.0,1636546799999,0.001608,1,0.0,0.0,NASBTC
49,1636546800000,800.0,800.0,800.0,800.0,362.0,1636546859999,0.002896,2,0.0,0.0,NASBTC
50,1636546860000,810.0,810.0,800.0,800.0,89.0,1636546919999,0.0007133,2,13.0,0.0001053,NASBTC
51,1636546920000,810.0,810.0,800.0,800.0,2291.0,1636546979999,0.018422,11,940.0,0.007614,NASBTC
52,1636546980000,800.0,810.0,800.0,800.0,426.0,1636547039999,0.0034107,5,27.0,0.0002187,NASBTC
53,1636547040000,800.0,800.0,800.0,800.0,464.0,1636547099999,0.003712,1,0.0,0.0,NASBTC
54,1636547100000,800.0,800.0,800.0,800.0,8672.0,1636547159999,0.069376,24,0.0,0.0,NASBTC
55,1636547160000,810.0,810.0,800.0,800.0,194.0,1636547219999,0.0015554,2,34.0,0.0002754,NASBTC
56,1636547220000,800.0,800.0,800.0,800.0,2635.0,1636547279999,0.02108,13,0.0,0.0,NASBTC
57,1636547280000,790.0,790.0,790.0,790.0,1539.0,1636547339999,0.0121581,1,0.0,0.0,NASBTC
58,1636547340000,800.0,810.0,790.0,800.0,1767.0,1636547399999,0.0141482,7,1718.0,0.0137611,NASBTC
59,1636547400000,800.0,800.0,800.0,800.0,199.0,1636547459999,0.001592,1,199.0,0.001592,NASBTC
60,1636547460000,800.0,800.0,800.0,800.0,81.0,1636547519999,0.000648,1,81.0,0.000648,NASBTC
61,1636547520000,800.0,800.0,800.0,800.0,93.0,1636547579999,0.000744,1,93.0,0.000744,NASBTC
62,1636547580000,800.0,800.0,790.0,790.0,336.0,1636547639999,0.0026675,2,131.0,0.001048,NASBTC
63,1636547640000,800.0,800.0,800.0,800.0,561.0,1636547699999,0.004488,4,561.0,0.004488,NASBTC
64,1636547700000,800.0,800.0,790.0,790.0,118.0,1636547759999,0.0009364,2,42.0,0.000336,NASBTC
65,1636547760000,800.0,800.0,800.0,800.0,123.0,1636547819999,0.000984,2,123.0,0.000984,NASBTC
66,1636547820000,800.0,800.0,800.0,800.0,94.0,1636547879999,0.000752,2,94.0,0.000752,NASBTC
67,1636547880000,800.0,800.0,800.0,800.0,86.0,1636547939999,0.000688,1,86.0,0.000688,NASBTC
68,1636547940000,800.0,800.0,800.0,800.0,41.0,1636547999999,0.000328,1,41.0,0.000328,NASBTC
69,1636548000000,790.0,790.0,790.0,790.0,47.0,1636548059999,0.0003713,1,0.0,0.0,NASBTC
70,1636548060000,800.0,800.0,800.0,800.0,21.0,1636548119999,0.000168,1,21.0,0.000168,NASBTC
71,1636548120000,800.0,800.0,800.0,800.0,29.0,1636548179999,0.000232,2,29.0,0.000232,NASBTC
72,1636548180000,800.0,800.0,800.0,800.0,1146.0,1636548239999,0.009168,12,1146.0,0.009168,NASBTC
73,1636548240000,800.0,800.0,800.0,800.0,0.0,1636548299999,0.0,0,0.0,0.0,NASBTC
74,1636548300000,800.0,800.0,800.0,800.0,29.0,1636548359999,0.000232,1,29.0,0.000232,NASBTC
75,1636548360000,800.0,800.0,800.0,800.0,108.0,1636548419999,0.000864,3,108.0,0.000864,NASBTC
76,1636548420000,800.0,800.0,800.0,800.0,194.0,1636548479999,0.001552,2,194.0,0.001552,NASBTC
77,1636548480000,790.0,800.0,790.0,800.0,65.0,1636548539999,0.0005162,2,27.0,0.000216,NASBTC
78,1636548540000,800.0,800.0,800.0,800.0,170.0,1636548599999,0.00136,1,170.0,0.00136,NASBTC
79,1636548600000,800.0,800.0,800.0,800.0,0.0,1636548659999,0.0,0,0.0,0.0,NASBTC
80,1636548660000,800.0,800.0,790.0,790.0,449.0,1636548719999,0.003564,3,169.0,0.001352,NASBTC
81,1636548720000,800.0,800.0,790.0,790.0,423.0,1636548779999,0.0033638,2,221.0,0.001768,NASBTC
82,1636548780000,800.0,800.0,800.0,800.0,180.0,1636548839999,0.00144,3,180.0,0.00144,NASBTC
83,1636548840000,800.0,800.0,800.0,800.0,728.0,1636548899999,0.005824,7,728.0,0.005824,NASBTC
84,1636548900000,800.0,800.0,790.0,790.0,2656.0,1636548959999,0.0210081,3,257.0,0.002056,NASBTC
85,1636548960000,800.0,800.0,800.0,800.0,37.0,1636549019999,0.000296,1,37.0,0.000296,NASBTC
86,1636549020000,800.0,800.0,800.0,800.0,29.0,1636549079999,0.000232,1,29.0,0.000232,NASBTC
87,1636549080000,790.0,800.0,790.0,800.0,426.0,1636549139999,0.0033822,4,168.0,0.001344,NASBTC
88,1636549140000,800.0,800.0,800.0,800.0,0.0,1636549199999,0.0,0,0.0,0.0,NASBTC
89,1636549200000,790.0,790.0,790.0,790.0,96.0,1636549259999,0.0007584,4,0.0,0.0,NASBTC
90,1636549260000,790.0,790.0,790.0,790.0,11359.0,1636549319999,0.0897361,19,0.0,0.0,NASBTC
91,1636549320000,800.0,800.0,790.0,790.0,3983.0,1636549379999,0.0318265,8,3608.0,0.028864,NASBTC
92,1636549380000,790.0,790.0,790.0,790.0,221.0,1636549439999,0.0017459,2,0.0,0.0,NASBTC
93,1636549440000,790.0,790.0,790.0,790.0,100.0,1636549499999,0.00079,1,0.0,0.0,NASBTC
94,1636549500000,790.0,800.0,790.0,800.0,1986.0,1636549559999,0.0158425,10,1531.0,0.012248,NASBTC
95,1636549560000,800.0,800.0,790.0,790.0,312.0,1636549619999,0.0024686,4,38.0,0.000304,NASBTC
96,1636549620000,800.0,800.0,790.0,790.0,591.0,1636549679999,0.0046708,6,19.0,0.000152,NASBTC
97,1636549680000,790.0,790.0,780.0,780.0,4310.0,1636549739999,0.0338284,21,337.0,0.0026623,NASBTC
98,1636549740000,790.0,790.0,790.0,790.0,287.0,1636549799999,0.0022673,2,287.0,0.0022673,NASBTC
99,1636549800000,790.0,790.0,790.0,790.0,100.0,1636549859999,0.00079,2,100.0,0.00079,NASBTC
100,1636549860000,790.0,790.0,790.0,790.0,154.0,1636549919999,0.0012166,2,154.0,0.0012166,NASBTC
101,1636549920000,790.0,790.0,790.0,790.0,56.0,1636549979999,0.0004424,2,56.0,0.0004424,NASBTC
102,1636549980000,790.0,790.0,790.0,790.0,219.0,1636550039999,0.0017301,1,219.0,0.0017301,NASBTC
103,1636550040000,790.0,790.0,790.0,790.0,0.0,1636550099999,0.0,0,0.0,0.0,NASBTC
104,1636550100000,790.0,790.0,790.0,790.0,207.0,1636550159999,0.0016353,3,207.0,0.0016353,NASBTC
105,1636550160000,790.0,790.0,780.0,780.0,125.0,1636550219999,0.0009795,4,45.0,0.0003555,NASBTC
106,1636550220000,790.0,790.0,790.0,790.0,267.0,1636550279999,0.0021093,3,267.0,0.0021093,NASBTC
107,1636550280000,790.0,790.0,790.0,790.0,29.0,1636550339999,0.0002291,1,29.0,0.0002291,NASBTC
108,1636550340000,780.0,780.0,780.0,780.0,2215.0,1636550399999,0.017277,2,0.0,0.0,NASBTC
109,1636550400000,790.0,790.0,780.0,780.0,9969.0,1636550459999,0.0778153,8,571.0,0.0045109,NASBTC
110,1636550460000,790.0,790.0,790.0,790.0,156.0,1636550519999,0.0012324,3,156.0,0.0012324,NASBTC
111,1636550520000,780.0,780.0,780.0,780.0,1672.0,1636550579999,0.0130416,1,0.0,0.0,NASBTC
112,1636550580000,790.0,790.0,780.0,780.0,1214.0,1636550639999,0.0094792,2,100.0,0.00079,NASBTC
113,1636550640000,790.0,790.0,790.0,790.0,186.0,1636550699999,0.0014694,4,186.0,0.0014694,NASBTC
114,1636550700000,780.0,780.0,780.0,780.0,1389.0,1636550759999,0.0108342,3,0.0,0.0,NASBTC
115,1636550760000,790.0,790.0,790.0,790.0,219.0,1636550819999,0.0017301,3,219.0,0.0017301,NASBTC
116,1636550820000,790.0,790.0,780.0,790.0,2482.0,1636550879999,0.0193968,8,372.0,0.0029388,NASBTC
117,1636550880000,780.0,790.0,780.0,790.0,347.0,1636550939999,0.0027241,5,175.0,0.0013825,NASBTC
118,1636550940000,780.0,780.0,780.0,780.0,19722.0,1636550999999,0.1538316,24,0.0,0.0,NASBTC
119,1636551000000,790.0,790.0,790.0,790.0,28.0,1636551059999,0.0002212,1,28.0,0.0002212,NASBTC
120,1636551060000,790.0,790.0,790.0,790.0,96.0,1636551119999,0.0007584,1,96.0,0.0007584,NASBTC
121,1636551120000,780.0,780.0,780.0,780.0,164.0,1636551179999,0.0012792,1,0.0,0.0,NASBTC
122,1636551180000,790.0,790.0,780.0,780.0,2954.0,1636551239999,0.023045,10,289.0,0.002258,NASBTC
123,1636551240000,770.0,780.0,770.0,780.0,241.0,1636551299999,0.0018754,3,197.0,0.0015366,NASBTC
124,1636551300000,780.0,780.0,770.0,780.0,1581.0,1636551359999,0.0121953,4,216.0,0.0016848,NASBTC
125,1636551360000,770.0,780.0,770.0,780.0,490.0,1636551419999,0.0037755,2,25.0,0.000195,NASBTC
126,1636551420000,780.0,780.0,780.0,780.0,136.0,1636551479999,0.0010608,1,136.0,0.0010608,NASBTC
127,1636551480000,780.0,780.0,780.0,780.0,0.0,1636551539999,0.0,0,0.0,0.0,NASBTC
128,1636551540000,780.0,780.0,780.0,780.0,186.0,1636551599999,0.0014508,1,186.0,0.0014508,NASBTC
129,1636551600000,780.0,780.0,770.0,770.0,202.0,1636551659999,0.0015714,3,160.0,0.001248,NASBTC
130,1636551660000,780.0,780.0,770.0,770.0,607.0,1636551719999,0.0046845,2,106.0,0.0008268,NASBTC
131,1636551720000,780.0,780.0,770.0,770.0,305.0,1636551779999,0.0023704,2,219.0,0.0017082,NASBTC
132,1636551780000,770.0,770.0,770.0,770.0,291.0,1636551839999,0.0022407,2,0.0,0.0,NASBTC
133,1636551840000,770.0,780.0,770.0,780.0,171.0,1636551899999,0.0013317,2,150.0,0.00117,NASBTC
