,open_time,open,high,low,close,volume,close_time,quote_asset_volume,n_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,pairing
0,1610022660000,0.00000581,0.00000582,0.00000581,0.00000582,1799.00000000,1610022719999,0.01046476,13,1799.00000000,0.01046476,ONGBTC
1,1610022720000,0.00000582,0.00000583,0.00000582,0.00000583,34.00000000,1610022779999,0.00019813,2,34.00000000,0.00019813,ONGBTC
2,1610022780000,0.00000582,0.00000582,0.00000582,0.00000582,516.00000000,1610022839999,0.00300312,4,292.00000000,0.00169944,ONGBTC
3,1610022840000,0.00000582,0.00000582,0.00000582,0.00000582,0.00000000,1610022899999,0.00000000,0,0.00000000,0.00000000,ONGBTC
4,1610022900000,0.00000582,0.00000582,0.00000582,0.00000582,0.00000000,1610022959999,0.00000000,0,0.00000000,0.00000000,ONGBTC
5,1610022960000,0.00000582,0.00000582,0.00000582,0.00000582,0.00000000,1610023019999,0.00000000,0,0.00000000,0.00000000,ONGBTC
6,1610023020000,0.00000582,0.00000582,0.00000582,0.00000582,0.00000000,1610023079999,0.00000000,0,0.00000000,0.00000000,ONGBTC
7,1610023080000,0.00000582,0.00000582,0.00000582,0.00000582,0.00000000,1610023139999,0.00000000,0,0.00000000,0.00000000,ONGBTC
8,1610023140000,0.00000582,0.00000582,0.00000582,0.00000582,1660.00000000,1610023199999,0.00966120,2,0.00000000,0.00000000,ONGBTC
9,1610023200000,0.00000585,0.00000585,0.00000585,0.00000585,216.00000000,1610023259999,0.00126360,1,216.00000000,0.00126360,ONGBTC
10,1610023260000,0.00000583,0.00000583,0.00000583,0.00000583,451.00000000,1610023319999,0.00262933,2,400.00000000,0.00233200,ONGBTC
11,1610023320000,0.00000583,0.00000583,0.00000582,0.00000582,257.00000000,1610023379999,0.00149694,4,0.00000000,0.00000000,ONGBTC
12,1610023380000,0.00000582,0.00000582,0.00000582,0.00000582,0.00000000,1610023439999,0.00000000,0,0.00000000,0.00000000,ONGBTC
13,1610023440000,0.00000582,0.00000582,0.00000582,0.00000582,0.00000000,1610023499999,0.00000000,0,0.00000000,0.00000000,ONGBTC
14,1610023500000,0.00000585,0.00000585,0.00000585,0.00000585,196.00000000,1610023559999,0.00114660,4,196.00000000,0.00114660,ONGBTC
15,1610023560000,0.00000586,0.00000586,0.00000586,0.00000586,597.00000000,1610023619999,0.00349842,2,597.00000000,0.00349842,ONGBTC
16,1610023620000,0.00000586,0.00000586,0.00000586,0.00000586,0.00000000,1610023679999,0.00000000,0,0.00000000,0.00000000,ONGBTC
17,1610023680000,0.00000585,0.00000590,0.00000585,0.00000590,2943.00000000,1610023739999,0.01726900,14,2535.00000000,0.01488220,ONGBTC
18,1610023740000,0.00000586,0.00000590,0.00000586,0.00000590,1571.00000000,1610023799999,0.00925990,5,1346.00000000,0.00794140,ONGBTC
