,open_time,open,high,low,close,volume,close_time,quote_asset_volume,n_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,pairing
0,1610022660000,581.0,582.0,581.0,582.0,1799.0,1610022719999,0.01046476,13,1799.0,0.01046476,ONGBTC
1,1610022720000,582.0,583.0,582.0,583.0,34.0,1610022779999,0.00019813,2,34.0,0.00019813,ONGBTC
2,1610022780000,582.0,582.0,582.0,582.0,516.0,1610022839999,0.00300312,4,292.0,0.00169944,ONGBTC
3,1610022840000,582.0,582.0,582.0,582.0,0.0,1610022899999,0.0,0,0.0,0.0,ONGBTC
4,1610022900000,582.0,582.0,582.0,582.0,0.0,1610022959999,0.0,0,0.0,0.0,ONGBTC
5,1610022960000,582.0,582.0,582.0,582.0,0.0,1610023019999,0.0,0,0.0,0.0,ONGBTC
6,1610023020000,582.0,582.0,582.0,582.0,0.0,1610023079999,0.0,0,0.0,0.0,ONGBTC
7,1610023080000,582.0,582.0,582.0,582.0,0.0,1610023139999,0.0,0,0.0,0.0,ONGBTC
8,1610023140000,582.0,582.0,582.0,582.0,1660.0,1610023199999,0.0096612,2,0.0,0.0,ONGBTC
9,1610023200000,585.0,585.0,585.0,585.0,216.0,1610023259999,0.0012636,1,216.0,0.0012636,ONGBTC
10,1610023260000,583.0,583.0,583.0,583.0,451.0,1610023319999,0.00262933,2,400.0,0.002332,ONGBTC
11,1610023320000,583.0,583.0,582.0,582.0,257.0,1610023379999,0.00149694,4,0.0,0.0,ONGBTC
12,1610023380000,582.0,582.0,582.0,582.0,0.0,1610023439999,0.0,0,0.0,0.0,ONGBTC
13,1610023440000,582.0,582.0,582.0,582.0,0.0,1610023499999,0.0,0,0.0,0.0,ONGBTC
14,1610023500000,585.0,585.0,585.0,585.0,196.0,1610023559999,0.0011466,4,196.0,0.0011466,ONGBTC
15,1610023560000,586.0,586.0,586.0,586.0,597.0,1610023619999,0.00349842,2,597.0,0.00349842,ONGBTC
16,1610023620000,586.0,586.0,586.0,586.0,0.0,1610023679999,0.0,0,0.0,0.0,ONGBTC
17,1610023680000,585.0,590.0,585.0,590.0,2943.0,1610023739999,0.017269,14,2535.0,0.0148822,ONGBTC
18,1610023740000,586.0,590.0,586.0,590.0,1571.0,1610023799999,0.0092599,5,1346.0,0.0079414,ONGBTC
19,1610023800000,589.0,593.0,588.0,588.0,3587.0,1610023859999,0.02112497,17,433.0,0.00256519,ONGBTC
20,1610023860000,588.0,588.0,588.0,588.0,0.0,1610023919999,0.0,0,0.0,0.0,ONGBTC
21,1610023920000,590.0,591.0,586.0,586.0,27885.0,1610023979999,0.16359734,11,228.0,0.0013452,ONGBTC
22,1610023980000,590.0,592.0,590.0,591.0,400.0,1610024039999,0.00236406,3,400.0,0.00236406,ONGBTC
23,1610024040000,591.0,592.0,590.0,591.0,1141.0,1610024099999,0.00674811,6,910.0,0.00538521,ONGBTC
24,1610024100000,589.0,589.0,589.0,589.0,800.0,1610024159999,0.004712,1,0.0,0.0,ONGBTC
25,1610024160000,590.0,590.0,590.0,590.0,739.0,1610024219999,0.0043601,1,739.0,0.0043601,ONGBTC
26,1610024220000,590.0,597.0,590.0,597.0,20817.0,1610024279999,0.12324769,20,20647.0,0.12224299,ONGBTC
27,1610024280000,594.0,594.0,594.0,594.0,600.0,1610024339999,0.003564,3,600.0,0.003564,ONGBTC
28,1610024340000,594.0,594.0,594.0,594.0,0.0,1610024399999,0.0,0,0.0,0.0,ONGBTC
29,1610024400000,594.0,594.0,594.0,594.0,0.0,1610024459999,0.0,0,0.0,0.0,ONGBTC
30,1610024460000,594.0,594.0,594.0,594.0,0.0,1610024519999,0.0,0,0.0,0.0,ONGBTC
31,1610024520000,594.0,594.0,593.0,593.0,474.0,1610024579999,0.00281311,3,0.0,0.0,ONGBTC
32,1610024580000,593.0,593.0,593.0,593.0,4465.0,1610024639999,0.02647745,10,0.0,0.0,ONGBTC
33,1610024640000,593.0,593.0,593.0,593.0,0.0,1610024699999,0.0,0,0.0,0.0,ONGBTC
34,1610024700000,593.0,593.0,593.0,593.0,0.0,1610024759999,0.0,0,0.0,0.0,ONGBTC
35,1610024760000,591.0,591.0,591.0,591.0,1926.0,1610024819999,0.01138266,5,0.0,0.0,ONGBTC
36,1610024820000,591.0,593.0,591.0,593.0,2039.0,1610024879999,0.0120602,6,600.0,0.00355571,ONGBTC
37,1610024880000,593.0,593.0,593.0,593.0,0.0,1610024939999,0.0,0,0.0,0.0,ONGBTC
38,1610024940000,591.0,591.0,590.0,590.0,1401.0,1610024999999,0.00826816,10,0.0,0.0,ONGBTC
39,1610025000000,590.0,592.0,590.0,591.0,2835.0,1610025059999,0.01676303,4,1757.0,0.01040144,ONGBTC
40,1610025060000,591.0,591.0,590.0,590.0,9864.0,1610025119999,0.05819847,10,0.0,0.0,ONGBTC
41,1610025120000,590.0,593.0,589.0,593.0,4358.0,1610025179999,0.02577579,7,1949.0,0.01149964,ONGBTC
42,1610025180000,592.0,592.0,590.0,590.0,189.0,1610025239999,0.00111561,4,155.0,0.0009145,ONGBTC
43,1610025240000,589.0,589.0,589.0,589.0,53.0,1610025299999,0.00031217,2,0.0,0.0,ONGBTC
44,1610025300000,592.0,594.0,592.0,594.0,1501.0,1610025359999,0.008891,9,284.0,0.00168636,ONGBTC
45,1610025360000,594.0,594.0,594.0,594.0,0.0,1610025419999,0.0,0,0.0,0.0,ONGBTC
