,open_time,open,high,low,close,volume,close_time,quote_asset_volume,n_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,pairing
0,1596201840000,2763.0,2764.0,2744.0,2764.0,4906.0,1596201899999,0.13514112,13,3423.0,0.09433772,PPTBTC
1,1596201900000,2763.0,2763.0,2763.0,2763.0,2042.0,1596201959999,0.05642046,1,2042.0,0.05642046,PPTBTC
2,1596201960000,2763.0,2763.0,2752.0,2763.0,3120.0,1596202019999,0.08620516,3,1115.0,0.03080745,PPTBTC
3,1596202020000,2762.0,2762.0,2762.0,2762.0,223.0,1596202079999,0.00615926,2,223.0,0.00615926,PPTBTC
4,1596202080000,2760.0,2763.0,2760.0,2763.0,649.0,1596202139999,0.01791801,5,649.0,0.01791801,PPTBTC
5,1596202140000,2762.0,2770.0,2738.0,2738.0,19630.0,1596202199999,0.54214492,23,16632.0,0.45992075,PPTBTC
6,1596202200000,2758.0,2770.0,2758.0,2770.0,2098.0,1596202259999,0.05809547,6,2098.0,0.05809547,PPTBTC
7,1596202260000,2770.0,2770.0,2770.0,2770.0,0.0,1596202319999,0.0,0,0.0,0.0,PPTBTC
8,1596202320000,2770.0,2770.0,2770.0,2770.0,0.0,1596202379999,0.0,0,0.0,0.0,PPTBTC
9,1596202380000,2770.0,2770.0,2770.0,2770.0,1052.0,1596202439999,0.0291404,2,1052.0,0.0291404,PPTBTC
10,1596202440000,2770.0,2770.0,2770.0,2770.0,0.0,1596202499999,0.0,0,0.0,0.0,PPTBTC
11,1596202500000,2770.0,2770.0,2770.0,2770.0,578.0,1596202559999,0.0160106,1,578.0,0.0160106,PPTBTC
12,1596202560000,2770.0,2770.0,2770.0,2770.0,0.0,1596202619999,0.0,0,0.0,0.0,PPTBTC
13,1596202620000,2770.0,2770.0,2770.0,2770.0,93.0,1596202679999,0.0025761,2,93.0,0.0025761,PPTBTC
14,1596202680000,2770.0,2772.0,2770.0,2772.0,1774.0,1596202739999,0.04914529,11,1774.0,0.04914529,PPTBTC
15,1596202740000,2772.0,2772.0,2772.0,2772.0,4.0,1596202799999,0.00011088,1,4.0,0.00011088,PPTBTC
16,1596202800000,2772.0,2772.0,2772.0,2772.0,355.0,1596202859999,0.0098406,5,355.0,0.0098406,PPTBTC
17,1596202860000,2772.0,2772.0,2772.0,2772.0,1115.0,1596202919999,0.0309078,11,372.0,0.01031184,PPTBTC
18,1596202920000,2752.0,2752.0,2751.0,2751.0,1150.0,1596202979999,0.03164317,3,0.0,0.0,PPTBTC
19,1596202980000,2751.0,2751.0,2750.0,2750.0,1648.0,1596203039999,0.0453252,5,1054.0,0.0289891,PPTBTC
20,1596203040000,2768.0,2768.0,2768.0,2768.0,499.0,1596203099999,0.01381232,2,499.0,0.01381232,PPTBTC
21,1596203100000,2768.0,2772.0,2768.0,2772.0,902.0,1596203159999,0.02497914,4,902.0,0.02497914,PPTBTC
22,1596203160000,2771.0,2771.0,2771.0,2771.0,25.0,1596203219999,0.00069275,1,25.0,0.00069275,PPTBTC
23,1596203220000,2771.0,2771.0,2771.0,2771.0,0.0,1596203279999,0.0,0,0.0,0.0,PPTBTC
24,1596203280000,2771.0,2771.0,2771.0,2771.0,0.0,1596203339999,0.0,0,0.0,0.0,PPTBTC
25,1596203340000,2771.0,2771.0,2771.0,2771.0,0.0,1596203399999,0.0,0,0.0,0.0,PPTBTC
26,1596203400000,2753.0,2753.0,2728.0,2737.0,52742.0,1596203459999,1.44227408,28,2742.0,0.07504854,PPTBTC
27,1596203460000,2741.0,2750.0,2741.0,2750.0,1393.0,1596203519999,0.03824749,12,499.0,0.0137225,PPTBTC
28,1596203520000,2750.0,2750.0,2750.0,2750.0,0.0,1596203579999,0.0,0,0.0,0.0,PPTBTC
29,1596203580000,2750.0,2750.0,2750.0,2750.0,0.0,1596203639999,0.0,0,0.0,0.0,PPTBTC
30,1596203640000,2744.0,2744.0,2744.0,2744.0,1257.0,1596203699999,0.03449208,15,1257.0,0.03449208,PPTBTC
31,1596203700000,2744.0,2744.0,2744.0,2744.0,615.0,1596203759999,0.0168756,6,615.0,0.0168756,PPTBTC
32,1596203760000,2741.0,2744.0,2702.0,2703.0,44356.0,1596203819999,1.20389913,77,689.0,0.01890616,PPTBTC
33,1596203820000,2711.0,2727.0,2711.0,2727.0,2134.0,1596203879999,0.05807752,65,1874.0,0.05102892,PPTBTC
34,1596203880000,2721.0,2723.0,2721.0,2723.0,1712.0,1596203939999,0.04659708,21,1712.0,0.04659708,PPTBTC
35,1596203940000,2723.0,2725.0,2723.0,2725.0,259.0,1596203999999,0.00705411,27,259.0,0.00705411,PPTBTC
36,1596204000000,2723.0,2725.0,2715.0,2715.0,1483.0,1596204059999,0.04039736,13,1394.0,0.03797506,PPTBTC
