,open_time,open,high,low,close,volume,close_time,quote_asset_volume,n_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,pairing
0,1599398760000,0.00000364,0.00000364,0.00000364,0.00000364,15413.00000000,1599398819999,0.05610332,3,2861.00000000,0.01041404,QSPBTC
1,1599398820000,0.00000363,0.00000364,0.00000362,0.00000362,14257.00000000,1599398879999,0.05163830,9,1370.00000000,0.00498680,QSPBTC
2,1599398880000,0.00000361,0.00000362,0.00000361,0.00000361,2959.00000000,1599398939999,0.01069662,7,1463.00000000,0.00529606,QSPBTC
3,1599398940000,0.00000361,0.00000368,0.00000361,0.00000366,35684.00000000,1599398999999,0.12999887,33,30194.00000000,0.11017392,QSPBTC
4,1599399000000,0.00000366,0.00000367,0.00000365,0.00000367,13477.00000000,1599399059999,0.04939902,15,13382.00000000,0.04905227,QSPBTC
5,1599399060000,0.00000367,0.00000367,0.00000367,0.00000367,83.00000000,1599399119999,0.00030461,2,83.00000000,0.00030461,QSPBTC
6,1599399120000,0.00000366,0.00000366,0.00000366,0.00000366,274.00000000,1599399179999,0.00100284,2,219.00000000,0.00080154,QSPBTC
7,1599399180000,0.00000365,0.00000365,0.00000365,0.00000365,761.00000000,1599399239999,0.00277765,2,0.00000000,0.00000000,QSPBTC
8,1599399240000,0.00000365,0.00000366,0.00000365,0.00000366,1005.00000000,1599399299999,0.00367681,4,856.00000000,0.00313296,QSPBTC
9,1599399300000,0.00000366,0.00000366,0.00000366,0.00000366,3499.00000000,1599399359999,0.01280634,2,3499.00000000,0.01280634,QSPBTC
10,1599399360000,0.00000366,0.00000366,0.00000366,0.00000366,0.00000000,1599399419999,0.00000000,0,0.00000000,0.00000000,QSPBTC
11,1599399420000,0.00000366,0.00000366,0.00000366,0.00000366,0.00000000,1599399479999,0.00000000,0,0.00000000,0.00000000,QSPBTC
12,1599399480000,0.00000366,0.00000366,0.00000366,0.00000366,0.00000000,1599399539999,0.00000000,0,0.00000000,0.00000000,QSPBTC
13,1599399540000,0.00000366,0.00000366,0.00000366,0.00000366,0.00000000,1599399599999,0.00000000,0,0.00000000,0.00000000,QSPBTC
14,1599399600000,0.00000366,0.00000366,0.00000366,0.00000366,0.00000000,1599399659999,0.00000000,0,0.00000000,0.00000000,QSPBTC
15,1599399660000,0.00000366,0.00000366,0.00000366,0.00000366,0.00000000,1599399719999,0.00000000,0,0.00000000,0.00000000,QSPBTC
16,1599399720000,0.00000365,0.00000365,0.00000365,0.00000365,3797.00000000,1599399779999,0.01385905,1,0.00000000,0.00000000,QSPBTC
17,1599399780000,0.00000364,0.00000364,0.00000363,0.00000363,5940.00000000,1599399839999,0.02156441,8,1153.00000000,0.00418539,QSPBTC
18,1599399840000,0.00000363,0.00000363,0.00000363,0.00000363,0.00000000,1599399899999,0.00000000,0,0.00000000,0.00000000,QSPBTC
19,1599399900000,0.00000363,0.00000363,0.00000363,0.00000363,0.00000000,1599399959999,0.00000000,0,0.00000000,0.00000000,QSPBTC
20,1599399960000,0.00000364,0.00000364,0.00000364,0.00000364,211.00000000,1599400019999,0.00076804,2,211.00000000,0.00076804,QSPBTC
21,1599400020000,0.00000364,0.00000364,0.00000364,0.00000364,0.00000000,1599400079999,0.00000000,0,0.00000000,0.00000000,QSPBTC
22,1599400080000,0.00000364,0.00000364,0.00000364,0.00000364,0.00000000,1599400139999,0.00000000,0,0.00000000,0.00000000,QSPBTC
23,1599400140000,0.00000364,0.00000365,0.00000364,0.00000364,50181.00000000,1599400199999,0.18265892,15,50145.00000000,0.18252788,QSPBTC
24,1599400200000,0.00000365,0.00000368,0.00000365,0.00000367,126762.00000000,1599400259999,0.46603848,20,126762.00000000,0.46603848,QSPBTC
25,1599400260000,0.00000367,0.00000370,0.00000367,0.00000370,46491.00000000,1599400319999,0.17181885,28,36199.00000000,0.13375920,QSPBTC
26,1599400320000,0.00000370,0.00000370,0.00000370,0.00000370,28.00000000,1599400379999,0.00010360,1,28.00000000,0.00010360,QSPBTC
27,1599400380000,0.00000369,0.00000369,0.00000369,0.00000369,161.00000000,1599400439999,0.00059409,3,0.00000000,0.00000000,QSPBTC
28,1599400440000,0.00000369,0.00000369,0.00000364,0.00000364,10987.00000000,1599400499999,0.04017720,13,121.00000000,0.00044649,QSPBTC
29,1599400500000,0.00000366,0.00000368,0.00000365,0.00000365,397.00000000,1599400559999,0.00145420,5,209.00000000,0.00076745,QSPBTC
30,1599400560000,0.00000367,0.00000367,0.00000367,0.00000367,1900.00000000,1599400619999,0.00697300,2,1900.00000000,0.00697300,QSPBTC
31,1599400620000,0.00000368,0.00000368,0.00000368,0.00000368,8.00000000,1599400679999,0.00002944,1,8.00000000,0.00002944,QSPBTC
32,1599400680000,0.00000368,0.00000368,0.00000368,0.00000368,0.00000000,1599400739999,0.00000000,0,0.00000000,0.00000000,QSPBTC
33,1599400740000,0.00000368,0.00000368,0.00000368,0.00000368,94.00000000,1599400799999,0.00034592,2,94.00000000,0.00034592,QSPBTC
34,1599400800000,0.00000368,0.00000368,0.00000368,0.00000368,2205.00000000,1599400859999,0.00811440,2,0.00000000,0.00000000,QSPBTC
35,1599400860000,0.00000369,0.00000369,0.00000368,0.00000368,11400.00000000,1599400919999,0.04196475,13,1275.00000000,0.00470475,QSPBTC
36,1599400920000,0.00000368,0.00000368,0.00000368,0.00000368,0.00000000,1599400979999,0.00000000,0,0.00000000,0.00000000,QSPBTC
37,1599400980000,0.00000368,0.00000370,0.00000368,0.00000370,10556.00000000,1599401039999,0.03902902,7,10323.00000000,0.03817158,QSPBTC
38,1599401040000,0.00000370,0.00000371,0.00000370,0.00000371,68080.00000000,1599401099999,0.25190655,9,68025.00000000,0.25170305,QSPBTC
39,1599401100000,0.00000371,0.00000371,0.00000370,0.00000371,36683.00000000,1599401159999,0.13603674,5,1455.00000000,0.00539805,QSPBTC
40,1599401160000,0.00000370,0.00000370,0.00000370,0.00000370,4407.00000000,1599401219999,0.01630590,1,0.00000000,0.00000000,QSPBTC
41,1599401220000,0.00000370,0.00000371,0.00000370,0.00000371,43665.00000000,1599401279999,0.16190865,3,34815.00000000,0.12916365,QSPBTC
42,1599401280000,0.00000372,0.00000374,0.00000372,0.00000372,944.00000000,1599401339999,0.00351924,10,906.00000000,0.00337788,QSPBTC
43,1599401340000,0.00000373,0.00000373,0.00000373,0.00000373,157.00000000,1599401399999,0.00058561,2,157.00000000,0.00058561,QSPBTC
44,1599401400000,0.00000373,0.00000373,0.00000373,0.00000373,3701.00000000,1599401459999,0.01380473,4,2480.00000000,0.00925040,QSPBTC
45,1599401460000,0.00000373,0.00000373,0.00000373,0.00000373,28.00000000,1599401519999,0.00010444,1,0.00000000,0.00000000,QSPBTC
46,1599401520000,0.00000373,0.00000373,0.00000373,0.00000373,0.00000000,1599401579999,0.00000000,0,0.00000000,0.00000000,QSPBTC
47,1599401580000,0.00000374,0.00000374,0.00000373,0.00000374,10725.00000000,1599401639999,0.04009765,11,9340.00000000,0.03493160,QSPBTC
