,open_time,open,high,low,close,volume,close_time,quote_asset_volume,n_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,pairing
0,1596686340000,0.00037330,0.00037330,0.00037330,0.00037330,0.00000000,1596686399999,0.00000000,0,0.00000000,0.00000000,SNXBTC
1,1596686400000,0.00037330,0.00037330,0.00037320,0.00037320,67.65000000,1596686459999,0.02524700,3,0.00000000,0.00000000,SNXBTC
2,1596686460000,0.00037340,0.00037340,0.00037340,0.00037340,23.74000000,1596686519999,0.00886451,2,23.74000000,0.00886451,SNXBTC
3,1596686520000,0.00037340,0.00037340,0.00037320,0.00037320,352.39000000,1596686579999,0.13155091,2,352.39000000,0.13155091,SNXBTC
4,1596686580000,0.00037360,0.00037360,0.00037360,0.00037360,61.50000000,1596686639999,0.02297639,3,61.50000000,0.02297639,SNXBTC
5,1596686640000,0.00037360,0.00037360,0.00037360,0.00037360,0.00000000,1596686699999,0.00000000,0,0.00000000,0.00000000,SNXBTC
6,1596686700000,0.00037330,0.00037330,0.00037330,0.00037330,187.30000000,1596686759999,0.06991909,2,187.30000000,0.06991909,SNXBTC
7,1596686760000,0.00037350,0.00037350,0.00037350,0.00037350,0.33000000,1596686819999,0.00012325,1,0.33000000,0.00012325,SNXBTC
8,1596686820000,0.00037360,0.00037370,0.00037360,0.00037360,455.38000000,1596686879999,0.17013009,9,1.62000000,0.00060539,SNXBTC
9,1596686880000,0.00037370,0.00037370,0.00037370,0.00037370,24.72000000,1596686939999,0.00923785,3,24.72000000,0.00923785,SNXBTC
10,1596686940000,0.00037330,0.00037330,0.00037330,0.00037330,2.99000000,1596686999999,0.00111616,1,0.00000000,0.00000000,SNXBTC
11,1596687000000,0.00037440,0.00037440,0.00037390,0.00037440,502.84000000,1596687059999,0.18812313,11,22.96000000,0.00859602,SNXBTC
12,1596687060000,0.00037350,0.00037350,0.00037340,0.00037340,0.82000000,1596687119999,0.00030619,2,0.09000000,0.00003361,SNXBTC
13,1596687120000,0.00037340,0.00037340,0.00037340,0.00037340,0.00000000,1596687179999,0.00000000,0,0.00000000,0.00000000,SNXBTC
14,1596687180000,0.00037320,0.00037320,0.00037290,0.00037290,103.07000000,1596687239999,0.03844062,4,0.00000000,0.00000000,SNXBTC
15,1596687240000,0.00037290,0.00037290,0.00037290,0.00037290,0.00000000,1596687299999,0.00000000,0,0.00000000,0.00000000,SNXBTC
16,1596687300000,0.00037290,0.00037290,0.00037290,0.00037290,0.30000000,1596687359999,0.00011187,1,0.30000000,0.00011187,SNXBTC
17,1596687360000,0.00037290,0.00037400,0.00037290,0.00037400,412.49000000,1596687419999,0.15423106,14,412.49000000,0.15423106,SNXBTC
18,1596687420000,0.00037440,0.00037440,0.00037440,0.00037440,107.63000000,1596687479999,0.04029667,4,107.63000000,0.04029667,SNXBTC
19,1596687480000,0.00037480,0.00037480,0.00037420,0.00037420,249.44000000,1596687539999,0.09334715,6,10.00000000,0.00374800,SNXBTC
20,1596687540000,0.00037430,0.00037500,0.00037410,0.00037500,107.20000000,1596687599999,0.04015218,9,94.65000000,0.03545711,SNXBTC
21,1596687600000,0.00037490,0.00037490,0.00037490,0.00037490,0.63000000,1596687659999,0.00023618,1,0.63000000,0.00023618,SNXBTC
22,1596687660000,0.00037420,0.00037420,0.00037420,0.00037420,44.34000000,1596687719999,0.01659202,1,0.00000000,0.00000000,SNXBTC
23,1596687720000,0.00037420,0.00037450,0.00037400,0.00037450,115.65000000,1596687779999,0.04326329,3,20.15000000,0.00754617,SNXBTC
24,1596687780000,0.00037450,0.00037450,0.00037400,0.00037400,12.06000000,1596687839999,0.00451147,2,2.06000000,0.00077147,SNXBTC
25,1596687840000,0.00037450,0.00037450,0.00037450,0.00037450,2.53000000,1596687899999,0.00094748,2,2.53000000,0.00094748,SNXBTC
26,1596687900000,0.00037450,0.00037450,0.00037450,0.00037450,11.49000000,1596687959999,0.00430300,1,11.49000000,0.00430300,SNXBTC
27,1596687960000,0.00037450,0.00037450,0.00037450,0.00037450,0.00000000,1596688019999,0.00000000,0,0.00000000,0.00000000,SNXBTC
28,1596688020000,0.00037450,0.00037460,0.00037450,0.00037460,181.99000000,1596688079999,0.06815598,3,174.61000000,0.06539144,SNXBTC
29,1596688080000,0.00037460,0.00037470,0.00037460,0.00037470,0.96000000,1596688139999,0.00035964,2,0.29000000,0.00010866,SNXBTC
30,1596688140000,0.00037460,0.00037490,0.00037450,0.00037490,545.02000000,1596688199999,0.20422530,10,301.34000000,0.11296543,SNXBTC
31,1596688200000,0.00037490,0.00037490,0.00037490,0.00037490,0.00000000,1596688259999,0.00000000,0,0.00000000,0.00000000,SNXBTC
32,1596688260000,0.00037470,0.00037500,0.00037470,0.00037500,35.95000000,1596688319999,0.01347154,6,7.95000000,0.00297994,SNXBTC
33,1596688320000,0.00037500,0.00037510,0.00037500,0.00037500,26.51000000,1596688379999,0.00994125,3,18.55000000,0.00695625,SNXBTC
34,1596688380000,0.00037500,0.00037500,0.00037500,0.00037500,53.84000000,1596688439999,0.02019000,4,9.13000000,0.00342375,SNXBTC
35,1596688440000,0.00037500,0.00037500,0.00037500,0.00037500,290.83000000,1596688499999,0.10906125,3,290.83000000,0.10906125,SNXBTC
36,1596688500000,0.00037500,0.00037580,0.00037500,0.00037580,1196.19000000,1596688559999,0.44873934,18,967.43000000,0.36291131,SNXBTC
37,1596688560000,0.00037560,0.00037630,0.00037560,0.00037630,1735.00000000,1596688619999,0.65183418,20,1735.00000000,0.65183418,SNXBTC
38,1596688620000,0.00037570,0.00037800,0.00037550,0.00037570,1347.92000000,1596688679999,0.50780342,68,1315.24000000,0.49553097,SNXBTC
39,1596688680000,0.00037690,0.00037790,0.00037600,0.00037640,1744.82000000,1596688739999,0.65800406,33,1214.00000000,0.45818561,SNXBTC
40,1596688740000,0.00037640,0.00037650,0.00037610,0.00037610,259.35000000,1596688799999,0.09755184,4,22.72000000,0.00855402,SNXBTC
41,1596688800000,0.00037610,0.00037640,0.00037610,0.00037640,41.19000000,1596688859999,0.01549163,6,0.34000000,0.00012797,SNXBTC
42,1596688860000,0.00037590,0.00037590,0.00037560,0.00037590,47.68000000,1596688919999,0.01792204,6,42.52000000,0.01598325,SNXBTC
43,1596688920000,0.00037610,0.00037610,0.00037600,0.00037600,7.75000000,1596688979999,0.00291428,3,0.00000000,0.00000000,SNXBTC
44,1596688980000,0.00037600,0.00037640,0.00037600,0.00037600,42.69000000,1596689039999,0.01606075,13,22.80000000,0.00858192,SNXBTC
45,1596689040000,0.00037620,0.00037620,0.00037590,0.00037590,134.46000000,1596689099999,0.05054376,3,0.00000000,0.00000000,SNXBTC
46,1596689100000,0.00037640,0.00037670,0.00037640,0.00037670,430.04000000,1596689159999,0.16199554,4,64.01000000,0.02411205,SNXBTC
47,1596689160000,0.00037680,0.00037690,0.00037530,0.00037530,262.21000000,1596689219999,0.09858541,45,24.47000000,0.00918855,SNXBTC
48,1596689220000,0.00037530,0.00037530,0.00037530,0.00037530,0.00000000,1596689279999,0.00000000,0,0.00000000,0.00000000,SNXBTC
49,1596689280000,0.00037560,0.00037560,0.00037560,0.00037560,15.77000000,1596689339999,0.00592320,2,15.77000000,0.00592320,SNXBTC
50,1596689340000,0.00037520,0.00037530,0.00037520,0.00037530,30.12000000,1596689399999,0.01130386,5,30.12000000,0.01130386,SNXBTC
51,1596689400000,0.00037530,0.00037530,0.00037500,0.00037530,67.99000000,1596689459999,0.02551644,6,67.38000000,0.02528769,SNXBTC
52,1596689460000,0.00037530,0.00037530,0.00037530,0.00037530,0.00000000,1596689519999,0.00000000,0,0.00000000,0.00000000,SNXBTC
53,1596689520000,0.00037530,0.00037530,0.00037530,0.00037530,0.00000000,1596689579999,0.00000000,0,0.00000000,0.00000000,SNXBTC
54,1596689580000,0.00037540,0.00037540,0.00037540,0.00037540,75.00000000,1596689639999,0.02815500,1,75.00000000,0.02815500,SNXBTC
55,1596689640000,0.00037530,0.00037660,0.00037530,0.00037660,245.30000000,1596689699999,0.09212277,9,245.30000000,0.09212277,SNXBTC
56,1596689700000,0.00037580,0.00037580,0.00037580,0.00037580,3.85000000,1596689759999,0.00144683,1,3.85000000,0.00144683,SNXBTC
57,1596689760000,0.00037510,0.00037530,0.00037510,0.00037530,133.06000000,1596689819999,0.04993079,3,46.15000000,0.01732009,SNXBTC
58,1596689820000,0.00037530,0.00037530,0.00037530,0.00037530,96.56000000,1596689879999,0.03623896,1,0.00000000,0.00000000,SNXBTC
59,1596689880000,0.00037530,0.00037530,0.00037530,0.00037530,0.00000000,1596689939999,0.00000000,0,0.00000000,0.00000000,SNXBTC
60,1596689940000,0.00037530,0.00037650,0.00037530,0.00037650,470.77000000,1596689999999,0.17719378,6,470.77000000,0.17719378,SNXBTC
61,1596690000000,0.00037530,0.00037530,0.00037530,0.00037530,0.38000000,1596690059999,0.00014261,1,0.00000000,0.00000000,SNXBTC
62,1596690060000,0.00037560,0.00037650,0.00037560,0.00037650,161.91000000,1596690119999,0.06093220,7,149.01000000,0.05608180,SNXBTC
63,1596690120000,0.00037650,0.00037650,0.00037540,0.00037540,143.71000000,1596690179999,0.05395172,6,2.74000000,0.00103161,SNXBTC
64,1596690180000,0.00037630,0.00037630,0.00037530,0.00037630,360.98000000,1596690239999,0.13582521,15,154.50000000,0.05813834,SNXBTC
65,1596690240000,0.00037630,0.00037630,0.00037630,0.00037630,133.60000000,1596690299999,0.05027366,4,0.00000000,0.00000000,SNXBTC
