,open_time,open,high,low,close,volume,close_time,quote_asset_volume,n_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,pairing
0,1596686340000,37330.0,37330.0,37330.0,37330.0,0.0,1596686399999,0.0,0,0.0,0.0,SNXBTC
1,1596686400000,37330.0,37330.0,37320.0,37320.0,67.65,1596686459999,0.025247,3,0.0,0.0,SNXBTC
2,1596686460000,37340.0,37340.0,37340.0,37340.0,23.74,1596686519999,0.00886451,2,23.74,0.00886451,SNXBTC
3,1596686520000,37340.0,37340.0,37320.0,37320.0,352.39,1596686579999,0.13155091,2,352.39,0.13155091,SNXBTC
4,1596686580000,37360.0,37360.0,37360.0,37360.0,61.5,1596686639999,0.02297639,3,61.5,0.02297639,SNXBTC
5,1596686640000,37360.0,37360.0,37360.0,37360.0,0.0,1596686699999,0.0,0,0.0,0.0,SNXBTC
6,1596686700000,37330.0,37330.0,37330.0,37330.0,187.3,1596686759999,0.06991909,2,187.3,0.06991909,SNXBTC
7,1596686760000,37350.0,37350.0,37350.0,37350.0,0.33,1596686819999,0.00012325,1,0.33,0.00012325,SNXBTC
8,1596686820000,37360.0,37370.0,37360.0,37360.0,455.38,1596686879999,0.17013009,9,1.62,0.00060539,SNXBTC
9,1596686880000,37370.0,37370.0,37370.0,37370.0,24.72,1596686939999,0.00923785,3,24.72,0.00923785,SNXBTC
10,1596686940000,37330.0,37330.0,37330.0,37330.0,2.99,1596686999999,0.00111616,1,0.0,0.0,SNXBTC
11,1596687000000,37440.0,37440.0,37390.0,37440.0,502.84,1596687059999,0.18812313,11,22.96,0.00859602,SNXBTC
12,1596687060000,37350.0,37350.0,37340.0,37340.0,0.82,1596687119999,0.00030619,2,0.09,3.361e-05,SNXBTC
13,1596687120000,37340.0,37340.0,37340.0,37340.0,0.0,1596687179999,0.0,0,0.0,0.0,SNXBTC
14,1596687180000,37320.0,37320.0,37290.0,37290.0,103.07,1596687239999,0.03844062,4,0.0,0.0,SNXBTC
15,1596687240000,37290.0,37290.0,37290.0,37290.0,0.0,1596687299999,0.0,0,0.0,0.0,SNXBTC
16,1596687300000,37290.0,37290.0,37290.0,37290.0,0.3,1596687359999,0.00011187,1,0.3,0.00011187,SNXBTC
