,open_time,open,high,low,close,volume,close_time,quote_asset_volume,n_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,pairing
0,1597080060000,1963.0,1963.0,1963.0,1963.0,16.0,1597080119999,0.00031408,1,16.0,0.00031408,STXBTC
1,1597080120000,1963.0,1963.0,1963.0,1963.0,0.0,1597080179999,0.0,0,0.0,0.0,STXBTC
2,1597080180000,1963.0,1963.0,1963.0,1963.0,0.0,1597080239999,0.0,0,0.0,0.0,STXBTC
3,1597080240000,1963.0,1963.0,1950.0,1950.0,20013.0,1597080299999,0.39043895,12,13.0,0.00025519,STXBTC
4,1597080300000,1951.0,1951.0,1951.0,1951.0,2619.0,1597080359999,0.05109669,3,1345.0,0.02624095,STXBTC
5,1597080360000,1951.0,1951.0,1951.0,1951.0,0.0,1597080419999,0.0,0,0.0,0.0,STXBTC
6,1597080420000,1951.0,1951.0,1951.0,1951.0,0.0,1597080479999,0.0,0,0.0,0.0,STXBTC
7,1597080480000,1951.0,1951.0,1951.0,1951.0,0.0,1597080539999,0.0,0,0.0,0.0,STXBTC
8,1597080540000,1957.0,1966.0,1957.0,1966.0,24071.0,1597080599999,0.47267469,17,21791.0,0.42784989,STXBTC
9,1597080600000,1966.0,1966.0,1966.0,1966.0,0.0,1597080659999,0.0,0,0.0,0.0,STXBTC
10,1597080660000,1966.0,1966.0,1966.0,1966.0,0.0,1597080719999,0.0,0,0.0,0.0,STXBTC
11,1597080720000,1966.0,1966.0,1966.0,1966.0,5.0,1597080779999,9.83e-05,1,5.0,9.83e-05,STXBTC
12,1597080780000,1957.0,1957.0,1939.0,1947.0,61191.0,1597080839999,1.19066117,44,3297.0,0.06436033,STXBTC
13,1597080840000,1951.0,1953.0,1951.0,1953.0,693.0,1597080899999,0.01352693,5,325.0,0.00634725,STXBTC
14,1597080900000,1953.0,1953.0,1953.0,1953.0,237.0,1597080959999,0.00462861,1,237.0,0.00462861,STXBTC
