,open_time,open,high,low,close,volume,close_time,quote_asset_volume,n_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,pairing
0,1592126340000,0.00001368,0.00001368,0.00001368,0.00001368,0.00000000,1592126399999,0.00000000,0,0.00000000,0.00000000,WRXBTC
1,1592126400000,0.00001368,0.00001368,0.00001368,0.00001368,3765.00000000,1592126459999,0.05150520,2,3765.00000000,0.05150520,WRXBTC
2,1592126460000,0.00001364,0.00001364,0.00001364,0.00001364,1585.00000000,1592126519999,0.02161940,2,0.00000000,0.00000000,WRXBTC
3,1592126520000,0.00001365,0.00001365,0.00001365,0.00001365,22.00000000,1592126579999,0.00030030,1,0.00000000,0.00000000,WRXBTC
4,1592126580000,0.00001366,0.00001366,0.00001365,0.00001365,4062.00000000,1592126639999,0.05548469,2,0.00000000,0.00000000,WRXBTC
5,1592126640000,0.00001364,0.00001366,0.00001364,0.00001366,4816.00000000,1592126699999,0.06569310,4,26.00000000,0.00035516,WRXBTC
6,1592126700000,0.00001366,0.00001367,0.00001366,0.00001367,1288.00000000,1592126759999,0.01759720,2,312.00000000,0.00426504,WRXBTC
7,1592126760000,0.00001367,0.00001367,0.00001367,0.00001367,0.00000000,1592126819999,0.00000000,0,0.00000000,0.00000000,WRXBTC
8,1592126820000,0.00001366,0.00001366,0.00001366,0.00001366,451.00000000,1592126879999,0.00616066,1,0.00000000,0.00000000,WRXBTC
9,1592126880000,0.00001366,0.00001366,0.00001366,0.00001366,0.00000000,1592126939999,0.00000000,0,0.00000000,0.00000000,WRXBTC
10,1592126940000,0.00001366,0.00001366,0.00001366,0.00001366,2597.00000000,1592126999999,0.03547502,1,0.00000000,0.00000000,WRXBTC
11,1592127000000,0.00001366,0.00001370,0.00001366,0.00001370,3958.00000000,1592127059999,0.05407420,5,200.00000000,0.00273992,WRXBTC
12,1592127060000,0.00001369,0.00001369,0.00001369,0.00001369,29.00000000,1592127119999,0.00039701,2,8.00000000,0.00010952,WRXBTC
13,1592127120000,0.00001369,0.00001371,0.00001369,0.00001371,6729.00000000,1592127179999,0.09219576,18,1178.00000000,0.01614387,WRXBTC
14,1592127180000,0.00001372,0.00001372,0.00001372,0.00001372,281.00000000,1592127239999,0.00385532,1,281.00000000,0.00385532,WRXBTC
15,1592127240000,0.00001372,0.00001372,0.00001370,0.00001371,4252.00000000,1592127299999,0.05827220,5,18.00000000,0.00024696,WRXBTC
16,1592127300000,0.00001371,0.00001371,0.00001371,0.00001371,366.00000000,1592127359999,0.00501786,1,0.00000000,0.00000000,WRXBTC
17,1592127360000,0.00001371,0.00001371,0.00001371,0.00001371,270.00000000,1592127419999,0.00370170,3,163.00000000,0.00223473,WRXBTC
18,1592127420000,0.00001371,0.00001371,0.00001371,0.00001371,7100.00000000,1592127479999,0.09734100,1,0.00000000,0.00000000,WRXBTC
19,1592127480000,0.00001371,0.00001371,0.00001370,0.00001370,11598.00000000,1592127539999,0.15892144,4,2854.00000000,0.03912834,WRXBTC
20,1592127540000,0.00001370,0.00001370,0.00001370,0.00001370,0.00000000,1592127599999,0.00000000,0,0.00000000,0.00000000,WRXBTC
21,1592127600000,0.00001370,0.00001370,0.00001370,0.00001370,0.00000000,1592127659999,0.00000000,0,0.00000000,0.00000000,WRXBTC
22,1592127660000,0.00001367,0.00001379,0.00001367,0.00001379,158124.00000000,1592127719999,2.17160438,62,122706.00000000,1.68460688,WRXBTC
23,1592127720000,0.00001379,0.00001380,0.00001376,0.00001380,7337.00000000,1592127779999,0.10124738,20,7308.00000000,0.10084834,WRXBTC
24,1592127780000,0.00001379,0.00001380,0.00001375,0.00001375,12644.00000000,1592127839999,0.17442704,4,11585.00000000,0.15986551,WRXBTC
25,1592127840000,0.00001375,0.00001380,0.00001375,0.00001380,27365.00000000,1592127899999,0.37701245,6,15088.00000000,0.20820370,WRXBTC
26,1592127900000,0.00001380,0.00001380,0.00001380,0.00001380,11999.00000000,1592127959999,0.16558620,5,11999.00000000,0.16558620,WRXBTC
27,1592127960000,0.00001380,0.00001380,0.00001380,0.00001380,0.00000000,1592128019999,0.00000000,0,0.00000000,0.00000000,WRXBTC
28,1592128020000,0.00001380,0.00001380,0.00001380,0.00001380,400.00000000,1592128079999,0.00552000,1,400.00000000,0.00552000,WRXBTC
29,1592128080000,0.00001380,0.00001380,0.00001380,0.00001380,1710.00000000,1592128139999,0.02359800,2,1710.00000000,0.02359800,WRXBTC
30,1592128140000,0.00001380,0.00001380,0.00001380,0.00001380,0.00000000,1592128199999,0.00000000,0,0.00000000,0.00000000,WRXBTC
31,1592128200000,0.00001376,0.00001376,0.00001376,0.00001376,908.00000000,1592128259999,0.01249408,1,0.00000000,0.00000000,WRXBTC
32,1592128260000,0.00001376,0.00001376,0.00001376,0.00001376,306.00000000,1592128319999,0.00421056,1,0.00000000,0.00000000,WRXBTC
33,1592128320000,0.00001376,0.00001376,0.00001376,0.00001376,0.00000000,1592128379999,0.00000000,0,0.00000000,0.00000000,WRXBTC
34,1592128380000,0.00001377,0.00001377,0.00001377,0.00001377,216.00000000,1592128439999,0.00297432,1,0.00000000,0.00000000,WRXBTC
35,1592128440000,0.00001377,0.00001377,0.00001377,0.00001377,509.00000000,1592128499999,0.00700893,1,0.00000000,0.00000000,WRXBTC
36,1592128500000,0.00001377,0.00001377,0.00001377,0.00001377,462.00000000,1592128559999,0.00636174,1,462.00000000,0.00636174,WRXBTC
37,1592128560000,0.00001376,0.00001376,0.00001376,0.00001376,18.00000000,1592128619999,0.00024768,1,0.00000000,0.00000000,WRXBTC
38,1592128620000,0.00001376,0.00001376,0.00001376,0.00001376,1750.00000000,1592128679999,0.02408000,2,0.00000000,0.00000000,WRXBTC
39,1592128680000,0.00001377,0.00001377,0.00001377,0.00001377,3192.00000000,1592128739999,0.04395384,3,3192.00000000,0.04395384,WRXBTC
40,1592128740000,0.00001377,0.00001377,0.00001375,0.00001375,51588.00000000,1592128799999,0.70974741,5,0.00000000,0.00000000,WRXBTC
41,1592128800000,0.00001375,0.00001375,0.00001375,0.00001375,0.00000000,1592128859999,0.00000000,0,0.00000000,0.00000000,WRXBTC
42,1592128860000,0.00001375,0.00001375,0.00001375,0.00001375,0.00000000,1592128919999,0.00000000,0,0.00000000,0.00000000,WRXBTC
43,1592128920000,0.00001378,0.00001380,0.00001378,0.00001380,22260.00000000,1592128979999,0.30715038,13,22260.00000000,0.30715038,WRXBTC
44,1592128980000,0.00001380,0.00001380,0.00001380,0.00001380,748.00000000,1592129039999,0.01032240,1,748.00000000,0.01032240,WRXBTC
45,1592129040000,0.00001378,0.00001378,0.00001378,0.00001378,3902.00000000,1592129099999,0.05376956,4,0.00000000,0.00000000,WRXBTC
46,1592129100000,0.00001379,0.00001379,0.00001378,0.00001378,4603.00000000,1592129159999,0.06346074,2,3140.00000000,0.04330060,WRXBTC
47,1592129160000,0.00001379,0.00001379,0.00001379,0.00001379,1070.00000000,1592129219999,0.01475530,1,0.00000000,0.00000000,WRXBTC
