,open_time,open,high,low,close,volume,close_time,quote_asset_volume,n_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,pairing
0,1592126340000,1368.0,1368.0,1368.0,1368.0,0.0,1592126399999,0.0,0,0.0,0.0,WRXBTC
1,1592126400000,1368.0,1368.0,1368.0,1368.0,3765.0,1592126459999,0.0515052,2,3765.0,0.0515052,WRXBTC
2,1592126460000,1364.0,1364.0,1364.0,1364.0,1585.0,1592126519999,0.0216194,2,0.0,0.0,WRXBTC
3,1592126520000,1365.0,1365.0,1365.0,1365.0,22.0,1592126579999,0.0003003,1,0.0,0.0,WRXBTC
4,1592126580000,1366.0,1366.0,1365.0,1365.0,4062.0,1592126639999,0.05548469,2,0.0,0.0,WRXBTC
5,1592126640000,1364.0,1366.0,1364.0,1366.0,4816.0,1592126699999,0.0656931,4,26.0,0.00035516,WRXBTC
6,1592126700000,1366.0,1367.0,1366.0,1367.0,1288.0,1592126759999,0.0175972,2,312.0,0.00426504,WRXBTC
7,1592126760000,1367.0,1367.0,1367.0,1367.0,0.0,1592126819999,0.0,0,0.0,0.0,WRXBTC
8,1592126820000,1366.0,1366.0,1366.0,1366.0,451.0,1592126879999,0.00616066,1,0.0,0.0,WRXBTC
9,1592126880000,1366.0,1366.0,1366.0,1366.0,0.0,1592126939999,0.0,0,0.0,0.0,WRXBTC
10,1592126940000,1366.0,1366.0,1366.0,1366.0,2597.0,1592126999999,0.03547502,1,0.0,0.0,WRXBTC
11,1592127000000,1366.0,1370.0,1366.0,1370.0,3958.0,1592127059999,0.0540742,5,200.0,0.00273992,WRXBTC
12,1592127060000,1369.0,1369.0,1369.0,1369.0,29.0,1592127119999,0.00039701,2,8.0,0.00010952,WRXBTC
13,1592127120000,1369.0,1371.0,1369.0,1371.0,6729.0,1592127179999,0.09219576,18,1178.0,0.01614387,WRXBTC
14,1592127180000,1372.0,1372.0,1372.0,1372.0,281.0,1592127239999,0.00385532,1,281.0,0.00385532,WRXBTC
15,1592127240000,1372.0,1372.0,1370.0,1371.0,4252.0,1592127299999,0.0582722,5,18.0,0.00024696,WRXBTC
