,open_time,open,high,low,close,volume,close_time,quote_asset_volume,n_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,pairing
0,1644933660000,9334.0,9334.0,9334.0,9334.0,0.0,1644933719999,0.0,0,0.0,0.0,XTZBTC
1,1644933720000,9327.0,9327.0,9320.0,9320.0,69.7,1644933779999,0.00649902,5,0.0,0.0,XTZBTC
2,1644933780000,9319.0,9319.0,9310.0,9310.0,127.0,1644933839999,0.01182961,13,0.0,0.0,XTZBTC
3,1644933840000,9310.0,9310.0,9310.0,9310.0,15.7,1644933899999,0.00146167,1,15.7,0.00146167,XTZBTC
4,1644933900000,9310.0,9310.0,9307.0,9307.0,970.5,1644933959999,0.09035309,4,955.2,0.08892912,XTZBTC
5,1644933960000,9310.0,9310.0,9310.0,9310.0,1103.1,1644934019999,0.10269861,1,1103.1,0.10269861,XTZBTC
6,1644934020000,9318.0,9325.0,9318.0,9325.0,93.0,1644934079999,0.0086688,3,93.0,0.0086688,XTZBTC
7,1644934080000,9319.0,9319.0,9319.0,9319.0,23.8,1644934139999,0.00221792,2,10.0,0.0009319,XTZBTC
8,1644934140000,9319.0,9319.0,9319.0,9319.0,0.0,1644934199999,0.0,0,0.0,0.0,XTZBTC
9,1644934200000,9327.0,9327.0,9327.0,9327.0,13.0,1644934259999,0.00121251,1,13.0,0.00121251,XTZBTC
10,1644934260000,9326.0,9332.0,9326.0,9332.0,44.0,1644934319999,0.00410584,2,40.0,0.0037328,XTZBTC
11,1644934320000,9326.0,9334.0,9326.0,9334.0,19.4,1644934379999,0.00181028,2,13.0,0.00121342,XTZBTC
12,1644934380000,9338.0,9339.0,9329.0,9339.0,172.0,1644934439999,0.01605253,4,65.1,0.00607941,XTZBTC
13,1644934440000,9337.0,9341.0,9336.0,9341.0,176.2,1644934499999,0.0164511,3,13.0,0.00121433,XTZBTC
14,1644934500000,9338.0,9346.0,9338.0,9346.0,19.8,1644934559999,0.00184908,2,2.1,0.00019626,XTZBTC
15,1644934560000,9346.0,9347.0,9341.0,9347.0,86.9,1644934619999,0.00812177,3,80.5,0.00752395,XTZBTC
16,1644934620000,9347.0,9347.0,9347.0,9347.0,2.1,1644934679999,0.00019628,1,0.0,0.0,XTZBTC
17,1644934680000,9348.0,9350.0,9341.0,9341.0,26.5,1644934739999,0.00247641,4,13.0,0.00121524,XTZBTC
18,1644934740000,9341.0,9341.0,9341.0,9341.0,3.0,1644934799999,0.00028022,2,0.0,0.0,XTZBTC
19,1644934800000,9348.0,9348.0,9348.0,9348.0,13.0,1644934859999,0.00121524,1,13.0,0.00121524,XTZBTC
20,1644934860000,9344.0,9344.0,9344.0,9344.0,4.8,1644934919999,0.00044851,1,0.0,0.0,XTZBTC
21,1644934920000,9344.0,9344.0,9344.0,9344.0,1.7,1644934979999,0.00015884,1,0.0,0.0,XTZBTC
22,1644934980000,9341.0,9341.0,9339.0,9339.0,53.0,1644935039999,0.00494993,2,0.0,0.0,XTZBTC
23,1644935040000,9335.0,9335.0,9332.0,9332.0,57.6,1644935099999,0.00537563,3,0.0,0.0,XTZBTC
24,1644935100000,9327.0,9327.0,9325.0,9325.0,53.0,1644935159999,0.00494251,2,0.0,0.0,XTZBTC
25,1644935160000,9320.0,9320.0,9320.0,9320.0,11.2,1644935219999,0.00104384,2,0.0,0.0,XTZBTC
26,1644935220000,9320.0,9320.0,9320.0,9320.0,0.0,1644935279999,0.0,0,0.0,0.0,XTZBTC
27,1644935280000,9323.0,9323.0,9323.0,9323.0,1.7,1644935339999,0.00015849,1,0.0,0.0,XTZBTC
28,1644935340000,9323.0,9323.0,9323.0,9323.0,0.0,1644935399999,0.0,0,0.0,0.0,XTZBTC
29,1644935400000,9320.0,9320.0,9320.0,9320.0,1.8,1644935459999,0.00016776,1,0.0,0.0,XTZBTC
30,1644935460000,9326.0,9334.0,9325.0,9325.0,148.9,1644935519999,0.01388955,7,108.9,0.01015955,XTZBTC
31,1644935520000,9332.0,9332.0,9328.0,9328.0,140.7,1644935579999,0.01312608,3,40.0,0.0037328,XTZBTC
32,1644935580000,9334.0,9334.0,9334.0,9334.0,1.3,1644935639999,0.00012134,1,1.3,0.00012134,XTZBTC
33,1644935640000,9338.0,9339.0,9334.0,9334.0,871.5,1644935699999,0.08134944,6,81.7,0.00762952,XTZBTC
34,1644935700000,9334.0,9348.0,9334.0,9348.0,98.4,1644935759999,0.00919222,6,66.9,0.00625202,XTZBTC
35,1644935760000,9348.0,9348.0,9348.0,9348.0,0.0,1644935819999,0.0,0,0.0,0.0,XTZBTC
36,1644935820000,9344.0,9344.0,9339.0,9339.0,250.4,1644935879999,0.02339333,7,0.0,0.0,XTZBTC
37,1644935880000,9346.0,9346.0,9346.0,9346.0,14.5,1644935939999,0.00135517,1,14.5,0.00135517,XTZBTC
38,1644935940000,9346.0,9352.0,9346.0,9352.0,61.6,1644935999999,0.00575878,4,61.6,0.00575878,XTZBTC
39,1644936000000,9353.0,9353.0,9352.0,9352.0,90.0,1644936059999,0.0084172,2,90.0,0.0084172,XTZBTC
40,1644936060000,9349.0,9360.0,9349.0,9360.0,59.4,1644936119999,0.00555848,3,53.0,0.00496015,XTZBTC
41,1644936120000,9362.0,9367.0,9362.0,9367.0,29.1,1644936179999,0.00272486,4,29.1,0.00272486,XTZBTC
42,1644936180000,9367.0,9369.0,9367.0,9369.0,47.4,1644936239999,0.00444014,5,47.4,0.00444014,XTZBTC
43,1644936240000,9372.0,9372.0,9372.0,9372.0,1.7,1644936299999,0.00015932,1,1.7,0.00015932,XTZBTC
44,1644936300000,9362.0,9362.0,9346.0,9346.0,209.0,1644936359999,0.01954805,7,50.0,0.004676,XTZBTC
45,1644936360000,9350.0,9350.0,9350.0,9350.0,360.6,1644936419999,0.0337161,1,360.6,0.0337161,XTZBTC
46,1644936420000,9350.0,9351.0,9342.0,9351.0,2054.9,1644936479999,0.19214308,16,2045.3,0.19124625,XTZBTC
47,1644936480000,9348.0,9348.0,9348.0,9348.0,1802.2,1644936539999,0.16846962,9,1802.2,0.16846962,XTZBTC
48,1644936540000,9348.0,9351.0,9348.0,9350.0,475.8,1644936599999,0.04448358,7,475.8,0.04448358,XTZBTC
49,1644936600000,9350.0,9353.0,9350.0,9353.0,2449.5,1644936659999,0.22903671,8,2449.5,0.22903671,XTZBTC
50,1644936660000,9351.0,9355.0,9351.0,9355.0,819.9,1644936719999,0.07666945,6,819.9,0.07666945,XTZBTC
51,1644936720000,9358.0,9359.0,9358.0,9359.0,63.9,1644936779999,0.0059799,2,63.9,0.0059799,XTZBTC
52,1644936780000,9359.0,9359.0,9359.0,9359.0,0.0,1644936839999,0.0,0,0.0,0.0,XTZBTC
53,1644936840000,9352.0,9354.0,9351.0,9354.0,95.8,1644936899999,0.00895983,5,35.8,0.00334873,XTZBTC
54,1644936900000,9354.0,9354.0,9354.0,9354.0,1679.9,1644936959999,0.15713783,2,1679.9,0.15713783,XTZBTC
55,1644936960000,9355.0,9355.0,9355.0,9355.0,278.7,1644937019999,0.02607238,1,278.7,0.02607238,XTZBTC
56,1644937020000,9352.0,9355.0,9348.0,9355.0,995.8,1644937079999,0.09314968,6,882.8,0.08258394,XTZBTC
57,1644937080000,9355.0,9355.0,9355.0,9355.0,0.0,1644937139999,0.0,0,0.0,0.0,XTZBTC
58,1644937140000,9355.0,9355.0,9355.0,9355.0,2.8,1644937199999,0.00026194,1,2.8,0.00026194,XTZBTC
59,1644937200000,9355.0,9355.0,9355.0,9355.0,0.0,1644937259999,0.0,0,0.0,0.0,XTZBTC
60,1644937260000,9355.0,9355.0,9355.0,9355.0,0.0,1644937319999,0.0,0,0.0,0.0,XTZBTC
61,1644937320000,9348.0,9355.0,9347.0,9355.0,399.8,1644937379999,0.03738065,4,120.6,0.01128213,XTZBTC
62,1644937380000,9349.0,9349.0,9349.0,9349.0,22.0,1644937439999,0.00205678,1,0.0,0.0,XTZBTC
63,1644937440000,9352.0,9353.0,9352.0,9353.0,99.5,1644937499999,0.00930573,2,99.5,0.00930573,XTZBTC
64,1644937500000,9351.0,9351.0,9351.0,9351.0,2.2,1644937559999,0.00020572,1,2.2,0.00020572,XTZBTC
65,1644937560000,9351.0,9351.0,9351.0,9351.0,0.0,1644937619999,0.0,0,0.0,0.0,XTZBTC
66,1644937620000,9350.0,9350.0,9350.0,9350.0,106.6,1644937679999,0.0099671,1,106.6,0.0099671,XTZBTC
67,1644937680000,9350.0,9350.0,9350.0,9350.0,0.0,1644937739999,0.0,0,0.0,0.0,XTZBTC
68,1644937740000,9350.0,9350.0,9350.0,9350.0,155.3,1644937799999,0.01452055,2,155.3,0.01452055,XTZBTC
69,1644937800000,9347.0,9350.0,9347.0,9350.0,273.7,1644937859999,0.02559065,6,263.8,0.0246653,XTZBTC
70,1644937860000,9350.0,9350.0,9350.0,9350.0,0.0,1644937919999,0.0,0,0.0,0.0,XTZBTC
71,1644937920000,9348.0,9350.0,9346.0,9346.0,1426.2,1644937979999,0.13334465,8,1384.0,0.1294006,XTZBTC
72,1644937980000,9346.0,9346.0,9346.0,9346.0,0.0,1644938039999,0.0,0,0.0,0.0,XTZBTC
