,text,date,id,chat
286_Telegram_2022-03-10,anmeldecode: 94007. auf keinen fall diesen code anderen geben selbst wenn sie behaupten zum telegram-team zu gehören!..dieser code kann dazu benutzt werden um sich mit deinem konto zu verbinden. wir fragen den code niemals für einen anderen zweck ab...wenn du den code nicht durch die anmeldung eines anderen gerätes angefordert hast so kannst du diese nachricht einfach ignorieren.,2022-03-10 14:57:55+00:00,777000,Telegram
278_Telegram_2022-02-26,anmeldecode: 11452. auf keinen fall diesen code anderen geben selbst wenn sie behaupten zum telegram-team zu gehören!..dieser code kann dazu benutzt werden um sich mit deinem konto zu verbinden. wir fragen den code niemals für einen anderen zweck ab...wenn du den code nicht durch die anmeldung eines anderen gerätes angefordert hast so kannst du diese nachricht einfach ignorieren.,2022-02-26 12:10:08+00:00,777000,Telegram
276_Telegram_2022-02-09,login code: 39068. do not give this code to anyone even if they say they are from telegram!..this code can be used to log in to your telegram account. we never ask it for anything else...if you didnt request this code by trying to log in on another device simply ignore this message.,2022-02-09 13:40:29+00:00,777000,Telegram
265_Telegram_2022-02-09,anmeldecode: 99866. auf keinen fall diesen code anderen geben selbst wenn sie behaupten zum telegram-team zu gehören!..dieser code kann dazu benutzt werden um sich mit deinem konto zu verbinden. wir fragen den code niemals für einen anderen zweck ab...wenn du den code nicht durch die anmeldung eines anderen gerätes angefordert hast so kannst du diese nachricht einfach ignorieren.,2022-02-09 13:20:33+00:00,777000,Telegram
10580_𝘾𝙧𝙮𝙥𝙩𝙤 𝙂𝙪𝙧𝙪® 𝘽𝙞𝙣𝙖𝙣𝙘𝙚 𝙎𝙞𝙜𝙣𝙖𝙡𝙨_2022-03-10,#btc stucks in range between 35k to 45k range like before previous months may-july..but its tricky always😉..so dont panic😁,2022-03-10 14:41:31+00:00,-1001093396548,𝘾𝙧𝙮𝙥𝙩𝙤 𝙂𝙪𝙧𝙪® 𝘽𝙞𝙣𝙖𝙣𝙘𝙚 𝙎𝙞𝙜𝙣𝙖𝙡𝙨
10579_𝘾𝙧𝙮𝙥𝙩𝙤 𝙂𝙪𝙧𝙪® 𝘽𝙞𝙣𝙖𝙣𝙘𝙚 𝙎𝙞𝙜𝙣𝙖𝙡𝙨_2022-03-09,https://twitter.com/cryptooady/status/1501582854509117440?t=9dnqnqvbhpyuewqohjfkhg&s=09,2022-03-09 20:05:53+00:00,-1001093396548,𝘾𝙧𝙮𝙥𝙩𝙤 𝙂𝙪𝙧𝙪® 𝘽𝙞𝙣𝙖𝙣𝙘𝙚 𝙎𝙞𝙜𝙣𝙖𝙡𝙨
10578_𝘾𝙧𝙮𝙥𝙩𝙤 𝙂𝙪𝙧𝙪® 𝘽𝙞𝙣𝙖𝙣𝙘𝙚 𝙎𝙞𝙜𝙣𝙖𝙡𝙨_2022-03-07,📊 futures (binance) ..#litusdt..long below : 1.22-1.21..max 👉3x-7x leverage hold..take profit: 1.255| 1.268|1.274+..sl: 1.172,2022-03-07 13:53:29+00:00,-1001093396548,𝘾𝙧𝙮𝙥𝙩𝙤 𝙂𝙪𝙧𝙪® 𝘽𝙞𝙣𝙖𝙣𝙘𝙚 𝙎𝙞𝙜𝙣𝙖𝙡𝙨
10577_𝘾𝙧𝙮𝙥𝙩𝙤 𝙂𝙪𝙧𝙪® 𝘽𝙞𝙣𝙖𝙣𝙘𝙚 𝙎𝙞𝙜𝙣𝙖𝙡𝙨_2022-03-03,#cvcusdt currently retested  breakout line which is currently support zone in 4hr chart. also pullback from 200ema bullish chart higher timeframes🚀,2022-03-03 12:49:14+00:00,-1001093396548,𝘾𝙧𝙮𝙥𝙩𝙤 𝙂𝙪𝙧𝙪® 𝘽𝙞𝙣𝙖𝙣𝙘𝙚 𝙎𝙞𝙜𝙣𝙖𝙡𝙨
10576_𝘾𝙧𝙮𝙥𝙩𝙤 𝙂𝙪𝙧𝙪® 𝘽𝙞𝙣𝙖𝙣𝙘𝙚 𝙎𝙞𝙜𝙣𝙖𝙡𝙨_2022-03-03,📊 futures (binance) ..#cvcusdt..long below : 0.28900-0.28645..max 👉3x-7x leverage hold..take profit: 0.29600| 0.29925|0.30560+..sl: 0.27960,2022-03-03 12:39:31+00:00,-1001093396548,𝘾𝙧𝙮𝙥𝙩𝙤 𝙂𝙪𝙧𝙪® 𝘽𝙞𝙣𝙖𝙣𝙘𝙚 𝙎𝙞𝙜𝙣𝙖𝙡𝙨
10575_𝘾𝙧𝙮𝙥𝙩𝙤 𝙂𝙪𝙧𝙪® 𝘽𝙞𝙣𝙖𝙣𝙘𝙚 𝙎𝙞𝙜𝙣𝙖𝙡𝙨_2022-03-03,,2022-03-03 12:33:56+00:00,-1001093396548,𝘾𝙧𝙮𝙥𝙩𝙤 𝙂𝙪𝙧𝙪® 𝘽𝙞𝙣𝙖𝙣𝙘𝙚 𝙎𝙞𝙜𝙣𝙖𝙡𝙨
